Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
538.1310424804688,536.8474731445312,1.9572622776031494,171.41603088378906,0.11189385503530502,17.0,10.0,11.0,14.0,36.0,60.0,46.0,47.0,31.0,8.0,6.0,16.0,44.0,68.0,39.0,65.0,49.0,11.0,6.0,11.0,35.0,52.0,51.0,92.0,26.0,4.0,3.0,17.0,67.0,63.0,26.0,38.0,53.0,68.0,55.0,67.0,34.0,9.0,8.0,14.0,44.0,59.0,53.0,103.0,51.0,16.0,10.0,12.0,74.0,103.0,56.0,63.0,20.0,13.0,18.0,29.0,23.0,45.0,57.0,83.0,27.0,26.0,17.0,15.0,51.0,9.0,6.0,11.0,43.0,55.0,50.0,90.0,43.0,7.0,5.0,34.0,103.0,97.0,36.0,64.0,103.0,17.0,5.0,23.0,61.0,47.0,35.0,103.0,53.0,15.0,11.0,37.0,77.0,49.0,31.0,48.0,34.0,61.0,38.0,35.0,11.0,11.0,15.0,19.0,18.0,41.0,48.0,84.0,25.0,35.0,18.0,17.0,32.0,54.0,33.0,40.0,14.0,27.0,23.0,39.0,16.0,37.0,34.0,32.0,13.0,33.0,34.0,30.0
538.1310424804688,536.8474731445312,1.9572622776031494,8.421859741210938,0.11189385503530502,54.0,14.0,10.0,7.0,14.0,38.0,32.0,70.0,23.0,16.0,20.0,31.0,25.0,76.0,50.0,53.0,27.0,35.0,28.0,39.0,18.0,35.0,27.0,55.0,18.0,46.0,44.0,40.0,16.0,18.0,22.0,30.0,44.0,82.0,68.0,51.0,36.0,9.0,7.0,12.0,39.0,59.0,48.0,93.0,104.0,30.0,4.0,9.0,98.0,94.0,40.0,41.0,72.0,30.0,5.0,21.0,63.0,43.0,24.0,33.0,73.0,44.0,20.0,32.0,76.0,19.0,6.0,8.0,43.0,57.0,40.0,71.0,55.0,10.0,8.0,16.0,62.0,104.0,53.0,65.0,76.0,23.0,21.0,17.0,18.0,53.0,48.0,104.0,18.0,20.0,28.0,42.0,22.0,57.0,52.0,46.0,14.0,41.0,47.0,52.0,26.0,18.0,21.0,21.0,21.0,50.0,43.0,71.0,58.0,19.0,7.0,13.0,50.0,85.0,59.0,48.0,41.0,11.0,5.0,11.0,29.0,33.0,29.0,57.0,74.0,25.0,5.0,7.0
525.3695678710938,536.7713623046875,1.942165732383728,175.7757568359375,0.11372058093547821,32.0,7.0,5.0,11.0,40.0,56.0,42.0,55.0,38.0,7.0,3.0,14.0,61.0,77.0,34.0,56.0,65.0,12.0,4.0,9.0,36.0,47.0,45.0,101.0,24.0,5.0,3.0,13.0,57.0,70.0,32.0,38.0,37.0,70.0,53.0,72.0,26.0,15.0,15.0,16.0,33.0,61.0,48.0,104.0,51.0,24.0,14.0,17.0,62.0,104.0,54.0,61.0,25.0,15.0,18.0,31.0,20.0,47.0,51.0,90.0,35.0,23.0,15.0,13.0,68.0,16.0,5.0,19.0,55.0,47.0,38.0,68.0,58.0,13.0,5.0,33.0,104.0,85.0,36.0,52.0,104.0,26.0,7.0,18.0,60.0,45.0,36.0,98.0,45.0,14.0,8.0,28.0,89.0,60.0,32.0,49.0,18.0,53.0,37.0,35.0,10.0,21.0,25.0,31.0,14.0,36.0,40.0,71.0,23.0,45.0,27.0,24.0,27.0,62.0,32.0,36.0,10.0,26.0,30.0,51.0,8.0,32.0,35.0,44.0,12.0,38.0,29.0,26.0
525.3695678710938,536.7713623046875,1.942165732383728,3.0900192260742188,0.11372058093547821,24.0,25.0,18.0,15.0,10.0,30.0,37.0,67.0,14.0,21.0,28.0,47.0,25.0,67.0,45.0,41.0,23.0,41.0,30.0,36.0,16.0,34.0,30.0,57.0,14.0,38.0,37.0,40.0,14.0,28.0,27.0,34.0,70.0,85.0,44.0,52.0,42.0,8.0,4.0,12.0,51.0,53.0,38.0,96.0,104.0,31.0,6.0,12.0,104.0,83.0,34.0,44.0,68.0,25.0,6.0,27.0,66.0,40.0,26.0,43.0,73.0,34.0,13.0,29.0,60.0,15.0,8.0,9.0,28.0,51.0,50.0,87.0,37.0,11.0,12.0,25.0,59.0,104.0,56.0,62.0,60.0,29.0,19.0,20.0,21.0,57.0,44.0,104.0,21.0,21.0,27.0,31.0,21.0,67.0,48.0,58.0,29.0,66.0,44.0,48.0,21.0,9.0,8.0,12.0,26.0,47.0,36.0,93.0,73.0,15.0,4.0,7.0,68.0,91.0,42.0,45.0,40.0,8.0,3.0,12.0,34.0,38.0,35.0,56.0,59.0,15.0,4.0,9.0
530.6487426757812,536.7649536132812,2.030463457107544,357.00634765625,0.11374996602535248,42.0,9.0,5.0,12.0,34.0,47.0,36.0,60.0,39.0,8.0,4.0,16.0,73.0,78.0,34.0,52.0,67.0,14.0,5.0,10.0,40.0,48.0,34.0,90.0,32.0,8.0,5.0,11.0,44.0,55.0,34.0,53.0,38.0,77.0,53.0,58.0,22.0,15.0,15.0,21.0,32.0,60.0,54.0,104.0,59.0,26.0,14.0,18.0,58.0,104.0,50.0,67.0,32.0,16.0,14.0,30.0,32.0,63.0,57.0,71.0,32.0,18.0,15.0,19.0,72.0,20.0,7.0,16.0,45.0,48.0,40.0,73.0,57.0,14.0,6.0,29.0,104.0,94.0,34.0,60.0,99.0,22.0,5.0,16.0,61.0,54.0,31.0,99.0,57.0,14.0,7.0,17.0,61.0,54.0,40.0,63.0,23.0,52.0,41.0,37.0,14.0,17.0,21.0,26.0,17.0,43.0,39.0,78.0,30.0,36.0,19.0,22.0,26.0,68.0,33.0,51.0,17.0,21.0,18.0,38.0,20.0,50.0,39.0,45.0,15.0,20.0,22.0,22.0
530.6487426757812,536.7649536132812,2.030463457107544,181.21981811523438,0.11374996602535248,22.0,16.0,16.0,15.0,18.0,46.0,45.0,56.0,19.0,17.0,16.0,38.0,29.0,75.0,37.0,49.0,32.0,39.0,19.0,25.0,15.0,38.0,36.0,72.0,13.0,24.0,27.0,32.0,17.0,38.0,40.0,36.0,53.0,63.0,46.0,65.0,51.0,11.0,6.0,11.0,53.0,59.0,30.0,97.0,103.0,24.0,5.0,12.0,103.0,98.0,32.0,53.0,63.0,18.0,6.0,27.0,48.0,45.0,32.0,59.0,80.0,29.0,11.0,21.0,42.0,14.0,10.0,15.0,38.0,66.0,57.0,69.0,40.0,15.0,12.0,26.0,56.0,102.0,55.0,68.0,64.0,29.0,16.0,19.0,26.0,59.0,51.0,103.0,19.0,19.0,20.0,29.0,28.0,74.0,51.0,53.0,30.0,53.0,36.0,60.0,36.0,10.0,8.0,9.0,35.0,54.0,31.0,82.0,66.0,14.0,5.0,9.0,72.0,84.0,36.0,49.0,43.0,10.0,4.0,14.0,34.0,38.0,31.0,59.0,58.0,14.0,4.0,11.0
511.7187194824219,536.7037963867188,2.080625295639038,358.5804748535156,0.11180190742015839,36.0,8.0,5.0,11.0,43.0,53.0,39.0,53.0,40.0,9.0,4.0,15.0,61.0,78.0,35.0,56.0,79.0,15.0,5.0,10.0,38.0,52.0,34.0,88.0,33.0,8.0,5.0,11.0,43.0,63.0,35.0,48.0,29.0,63.0,56.0,69.0,31.0,19.0,18.0,19.0,31.0,66.0,49.0,103.0,54.0,27.0,16.0,20.0,65.0,103.0,50.0,69.0,34.0,16.0,15.0,31.0,30.0,56.0,52.0,76.0,38.0,18.0,13.0,14.0,60.0,17.0,8.0,21.0,62.0,57.0,36.0,62.0,63.0,17.0,6.0,26.0,97.0,92.0,33.0,63.0,103.0,24.0,6.0,16.0,60.0,56.0,36.0,97.0,50.0,13.0,6.0,17.0,66.0,61.0,40.0,54.0,21.0,46.0,39.0,45.0,18.0,21.0,19.0,22.0,21.0,46.0,30.0,74.0,35.0,31.0,16.0,23.0,32.0,72.0,33.0,49.0,21.0,18.0,17.0,34.0,20.0,43.0,39.0,54.0,21.0,18.0,17.0,16.0
511.7187194824219,536.7037963867188,2.080625295639038,182.94578552246094,0.11180190742015839,33.0,15.0,12.0,11.0,20.0,40.0,38.0,64.0,26.0,17.0,16.0,31.0,31.0,77.0,36.0,49.0,34.0,31.0,19.0,27.0,21.0,47.0,30.0,62.0,21.0,31.0,26.0,27.0,16.0,35.0,32.0,47.0,55.0,70.0,47.0,55.0,45.0,12.0,7.0,13.0,53.0,61.0,38.0,95.0,103.0,28.0,6.0,13.0,91.0,93.0,35.0,56.0,72.0,23.0,6.0,24.0,69.0,55.0,31.0,48.0,66.0,26.0,12.0,26.0,51.0,15.0,9.0,11.0,36.0,60.0,50.0,74.0,43.0,14.0,13.0,26.0,62.0,103.0,51.0,69.0,59.0,30.0,19.0,22.0,26.0,62.0,47.0,103.0,27.0,23.0,27.0,27.0,22.0,59.0,54.0,61.0,28.0,58.0,39.0,54.0,36.0,10.0,9.0,11.0,33.0,56.0,35.0,76.0,80.0,17.0,5.0,10.0,64.0,85.0,38.0,50.0,46.0,11.0,4.0,14.0,39.0,44.0,37.0,53.0,50.0,14.0,6.0,11.0
506.2779235839844,536.6552124023438,1.98812997341156,170.79110717773438,0.11278843134641647,23.0,8.0,8.0,13.0,38.0,56.0,46.0,51.0,33.0,6.0,4.0,18.0,71.0,68.0,38.0,60.0,62.0,13.0,4.0,13.0,45.0,45.0,45.0,96.0,31.0,8.0,4.0,26.0,67.0,55.0,29.0,37.0,58.0,78.0,50.0,67.0,27.0,9.0,11.0,14.0,41.0,61.0,52.0,105.0,54.0,24.0,14.0,14.0,55.0,105.0,50.0,59.0,16.0,20.0,25.0,38.0,19.0,48.0,56.0,64.0,17.0,38.0,29.0,21.0,68.0,15.0,4.0,16.0,49.0,42.0,44.0,90.0,54.0,13.0,6.0,44.0,105.0,81.0,37.0,56.0,104.0,29.0,8.0,35.0,69.0,40.0,32.0,83.0,67.0,30.0,21.0,45.0,66.0,33.0,27.0,48.0,39.0,61.0,26.0,37.0,13.0,12.0,16.0,26.0,21.0,43.0,44.0,68.0,27.0,40.0,26.0,21.0,26.0,43.0,26.0,41.0,15.0,39.0,31.0,41.0,16.0,37.0,23.0,23.0,12.0,37.0,44.0,48.0
506.2779235839844,536.6552124023438,1.98812997341156,149.448974609375,0.11278843134641647,26.0,31.0,51.0,49.0,21.0,21.0,14.0,6.0,30.0,22.0,14.0,11.0,38.0,37.0,73.0,56.0,14.0,5.0,11.0,54.0,94.0,49.0,46.0,49.0,59.0,19.0,16.0,45.0,25.0,5.0,20.0,59.0,69.0,25.0,25.0,64.0,41.0,15.0,29.0,68.0,78.0,48.0,71.0,104.0,34.0,5.0,5.0,31.0,70.0,78.0,58.0,31.0,19.0,31.0,51.0,36.0,8.0,13.0,26.0,28.0,67.0,58.0,49.0,31.0,28.0,20.0,15.0,16.0,43.0,30.0,67.0,61.0,24.0,9.0,12.0,66.0,104.0,62.0,65.0,69.0,81.0,28.0,31.0,84.0,47.0,11.0,25.0,85.0,66.0,61.0,70.0,62.0,13.0,9.0,10.0,27.0,40.0,29.0,47.0,78.0,21.0,5.0,2.0,18.0,61.0,49.0,39.0,23.0,10.0,22.0,42.0,30.0,8.0,15.0,25.0,28.0,68.0,66.0,54.0,28.0,31.0,5.0,2.0,28.0,40.0,22.0,50.0,81.0
