Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
572.8656005859375,288.7469482421875,2.670213460922241,36.39636993408203,0.09874370694160461,6.0,23.0,55.0,4.0,0.0,0.0,0.0,0.0,129.0,86.0,8.0,0.0,0.0,0.0,12.0,50.0,45.0,50.0,12.0,10.0,12.0,12.0,45.0,40.0,11.0,2.0,6.0,23.0,82.0,19.0,4.0,4.0,36.0,11.0,12.0,5.0,4.0,3.0,0.0,4.0,158.0,36.0,2.0,1.0,5.0,5.0,10.0,130.0,53.0,21.0,22.0,40.0,110.0,38.0,20.0,56.0,3.0,4.0,65.0,65.0,45.0,10.0,1.0,1.0,43.0,5.0,0.0,0.0,11.0,11.0,0.0,2.0,158.0,51.0,1.0,5.0,13.0,3.0,1.0,26.0,85.0,14.0,4.0,60.0,158.0,30.0,2.0,9.0,0.0,3.0,22.0,30.0,52.0,40.0,16.0,4.0,24.0,0.0,0.0,0.0,9.0,20.0,6.0,14.0,158.0,20.0,4.0,3.0,8.0,3.0,2.0,38.0,62.0,15.0,11.0,41.0,158.0,31.0,0.0,4.0,0.0,10.0,19.0,25.0,49.0,8.0,2.0,1.0
503.02557373046875,533.7081909179688,2.2745988368988037,184.16342163085938,0.06795870512723923,62.0,58.0,3.0,4.0,23.0,28.0,9.0,9.0,69.0,110.0,14.0,16.0,4.0,4.0,3.0,3.0,61.0,9.0,11.0,17.0,7.0,7.0,7.0,44.0,42.0,2.0,0.0,5.0,44.0,8.0,3.0,58.0,52.0,41.0,8.0,26.0,143.0,14.0,1.0,3.0,143.0,105.0,6.0,8.0,12.0,14.0,20.0,20.0,116.0,27.0,1.0,1.0,8.0,46.0,45.0,32.0,70.0,37.0,0.0,2.0,38.0,28.0,8.0,13.0,46.0,15.0,5.0,7.0,143.0,66.0,9.0,22.0,143.0,19.0,2.0,1.0,14.0,21.0,13.0,96.0,93.0,8.0,13.0,9.0,11.0,79.0,33.0,31.0,56.0,24.0,21.0,2.0,1.0,11.0,17.0,30.0,22.0,12.0,4.0,2.0,19.0,50.0,38.0,47.0,143.0,36.0,16.0,6.0,2.0,16.0,15.0,63.0,30.0,20.0,89.0,70.0,2.0,5.0,11.0,17.0,16.0,39.0,63.0,10.0,0.0,1.0,12.0,32.0
513.7430419921875,531.494384765625,2.6854138374328613,294.75958251953125,0.08063316345214844,95.0,78.0,29.0,5.0,6.0,6.0,20.0,25.0,3.0,46.0,91.0,33.0,50.0,13.0,11.0,7.0,1.0,14.0,72.0,24.0,8.0,7.0,43.0,49.0,8.0,18.0,51.0,43.0,1.0,1.0,24.0,31.0,3.0,31.0,70.0,55.0,80.0,24.0,23.0,12.0,13.0,77.0,118.0,80.0,65.0,5.0,5.0,5.0,101.0,92.0,118.0,16.0,1.0,7.0,7.0,18.0,17.0,17.0,52.0,49.0,9.0,20.0,11.0,7.0,9.0,19.0,118.0,94.0,25.0,1.0,0.0,5.0,62.0,17.0,40.0,65.0,36.0,5.0,45.0,100.0,118.0,34.0,63.0,35.0,2.0,4.0,21.0,98.0,13.0,5.0,64.0,118.0,30.0,12.0,6.0,6.0,12.0,1.0,15.0,13.0,8.0,21.0,28.0,41.0,67.0,30.0,20.0,5.0,1.0,1.0,7.0,60.0,13.0,14.0,60.0,65.0,36.0,18.0,6.0,17.0,29.0,6.0,51.0,42.0,8.0,6.0,6.0,33.0
712.56396484375,245.9304962158203,8.662893295288086,191.17088317871094,0.06668233871459961,40.0,5.0,5.0,4.0,5.0,1.0,0.0,1.0,141.0,24.0,7.0,10.0,4.0,0.0,0.0,9.0,61.0,25.0,141.0,89.0,23.0,1.0,0.0,1.0,2.0,5.0,141.0,120.0,21.0,0.0,0.0,1.0,41.0,5.0,1.0,1.0,6.0,4.0,13.0,9.0,141.0,21.0,2.0,9.0,27.0,7.0,1.0,14.0,42.0,7.0,39.0,58.0,141.0,98.0,9.0,3.0,20.0,10.0,47.0,13.0,5.0,23.0,24.0,20.0,19.0,0.0,0.0,0.0,0.0,3.0,81.0,46.0,141.0,2.0,1.0,15.0,16.0,3.0,25.0,101.0,32.0,4.0,5.0,64.0,94.0,53.0,8.0,6.0,12.0,17.0,6.0,7.0,6.0,24.0,50.0,13.0,1.0,0.0,0.0,12.0,3.0,3.0,141.0,66.0,14.0,0.0,3.0,86.0,22.0,2.0,48.0,68.0,6.0,4.0,13.0,71.0,38.0,7.0,10.0,15.0,15.0,21.0,4.0,3.0,6.0,7.0,16.0,8.0
695.040771484375,245.78489685058594,2.4445810317993164,144.42909240722656,0.08335836231708527,0.0,16.0,33.0,25.0,2.0,21.0,57.0,15.0,1.0,3.0,49.0,100.0,7.0,2.0,14.0,20.0,2.0,8.0,32.0,127.0,61.0,12.0,1.0,1.0,35.0,62.0,32.0,45.0,10.0,2.0,3.0,17.0,6.0,47.0,127.0,104.0,3.0,0.0,0.0,0.0,127.0,53.0,127.0,83.0,7.0,7.0,4.0,21.0,29.0,9.0,7.0,32.0,127.0,113.0,7.0,15.0,44.0,110.0,9.0,5.0,59.0,46.0,2.0,1.0,34.0,8.0,49.0,43.0,48.0,6.0,1.0,3.0,127.0,80.0,23.0,22.0,4.0,1.0,1.0,11.0,34.0,24.0,14.0,110.0,95.0,23.0,2.0,4.0,5.0,17.0,12.0,12.0,77.0,79.0,5.0,1.0,19.0,1.0,1.0,4.0,30.0,15.0,4.0,9.0,103.0,53.0,10.0,6.0,2.0,1.0,1.0,20.0,10.0,28.0,29.0,49.0,10.0,6.0,3.0,2.0,2.0,9.0,25.0,23.0,24.0,37.0,9.0,2.0
619.62451171875,247.98159790039062,3.70658540725708,291.8978271484375,0.08306358754634857,26.0,62.0,12.0,2.0,14.0,12.0,0.0,0.0,61.0,74.0,1.0,0.0,49.0,110.0,2.0,0.0,2.0,0.0,0.0,0.0,54.0,134.0,14.0,12.0,1.0,0.0,0.0,1.0,2.0,10.0,17.0,20.0,51.0,25.0,0.0,0.0,19.0,26.0,1.0,4.0,134.0,36.0,0.0,0.0,18.0,50.0,10.0,25.0,29.0,1.0,0.0,0.0,82.0,134.0,18.0,10.0,1.0,0.0,1.0,9.0,13.0,78.0,26.0,3.0,51.0,4.0,0.0,0.0,4.0,9.0,21.0,44.0,134.0,27.0,2.0,0.0,2.0,13.0,20.0,51.0,70.0,39.0,25.0,4.0,12.0,134.0,47.0,8.0,0.0,0.0,20.0,13.0,6.0,134.0,132.0,0.0,3.0,1.0,1.0,1.0,7.0,9.0,87.0,76.0,27.0,27.0,17.0,19.0,27.0,8.0,36.0,31.0,12.0,57.0,117.0,43.0,7.0,6.0,2.0,0.0,1.0,8.0,134.0,70.0,8.0,24.0,12.0,0.0
513.7430419921875,531.494384765625,2.6854138374328613,212.468994140625,0.08063316345214844,28.0,26.0,11.0,21.0,21.0,25.0,10.0,1.0,121.0,121.0,45.0,4.0,0.0,1.0,4.0,14.0,65.0,38.0,75.0,35.0,23.0,19.0,8.0,29.0,46.0,8.0,13.0,2.0,5.0,11.0,76.0,88.0,18.0,7.0,0.0,0.0,4.0,61.0,81.0,25.0,42.0,80.0,61.0,6.0,31.0,82.0,63.0,17.0,121.0,75.0,62.0,6.0,4.0,4.0,12.0,47.0,82.0,35.0,56.0,20.0,15.0,21.0,1.0,14.0,36.0,56.0,29.0,21.0,5.0,17.0,21.0,23.0,53.0,48.0,3.0,3.0,15.0,96.0,121.0,44.0,121.0,25.0,1.0,8.0,8.0,15.0,103.0,87.0,79.0,32.0,2.0,3.0,29.0,56.0,3.0,13.0,30.0,41.0,16.0,15.0,7.0,29.0,27.0,4.0,67.0,121.0,38.0,6.0,3.0,6.0,17.0,8.0,30.0,64.0,21.0,22.0,16.0,7.0,16.0,11.0,51.0,69.0,5.0,0.0,7.0,19.0,10.0,14.0
484.18157958984375,535.5626831054688,2.062919855117798,48.345584869384766,0.09175669401884079,19.0,9.0,6.0,31.0,21.0,4.0,2.0,4.0,60.0,22.0,22.0,3.0,1.0,0.0,3.0,83.0,3.0,12.0,20.0,2.0,7.0,3.0,11.0,60.0,2.0,0.0,1.0,3.0,66.0,29.0,15.0,13.0,32.0,13.0,6.0,37.0,22.0,21.0,21.0,15.0,54.0,64.0,126.0,57.0,52.0,3.0,4.0,17.0,86.0,126.0,125.0,13.0,7.0,1.0,1.0,20.0,27.0,13.0,5.0,4.0,11.0,5.0,33.0,113.0,4.0,7.0,13.0,28.0,11.0,14.0,19.0,10.0,12.0,8.0,13.0,44.0,121.0,38.0,73.0,27.0,126.0,64.0,11.0,4.0,14.0,14.0,62.0,82.0,117.0,56.0,4.0,0.0,0.0,0.0,3.0,64.0,34.0,24.0,19.0,6.0,1.0,1.0,9.0,76.0,5.0,0.0,0.0,3.0,4.0,17.0,126.0,126.0,40.0,15.0,0.0,0.0,0.0,54.0,126.0,33.0,26.0,91.0,24.0,2.0,4.0,33.0,18.0,4.0
362.3896484375,68.89439392089844,1.8411085605621338,181.66351318359375,0.07769495248794556,122.0,58.0,8.0,1.0,0.0,0.0,0.0,21.0,86.0,61.0,7.0,0.0,0.0,0.0,3.0,37.0,12.0,17.0,59.0,27.0,2.0,7.0,5.0,5.0,1.0,0.0,25.0,41.0,14.0,6.0,15.0,19.0,122.0,121.0,0.0,0.0,0.0,1.0,1.0,4.0,122.0,99.0,7.0,4.0,2.0,7.0,21.0,82.0,21.0,14.0,16.0,55.0,57.0,67.0,39.0,35.0,50.0,48.0,15.0,15.0,10.0,6.0,16.0,62.0,97.0,15.0,2.0,1.0,1.0,9.0,40.0,39.0,122.0,122.0,122.0,21.0,2.0,1.0,2.0,22.0,26.0,44.0,122.0,122.0,31.0,7.0,2.0,5.0,65.0,105.0,38.0,31.0,4.0,0.0,0.0,2.0,3.0,3.0,11.0,49.0,17.0,13.0,35.0,14.0,9.0,31.0,75.0,15.0,1.0,0.0,28.0,58.0,35.0,16.0,47.0,9.0,0.0,2.0,48.0,52.0,52.0,10.0,5.0,6.0,3.0,1.0,3.0,26.0
494.0708923339844,248.52432250976562,2.521890640258789,335.4837341308594,0.06830335408449173,7.0,17.0,40.0,114.0,24.0,0.0,0.0,1.0,49.0,97.0,79.0,59.0,0.0,0.0,0.0,1.0,9.0,12.0,50.0,114.0,44.0,16.0,5.0,7.0,2.0,20.0,13.0,41.0,50.0,48.0,4.0,1.0,63.0,15.0,26.0,100.0,22.0,6.0,1.0,18.0,63.0,29.0,42.0,64.0,62.0,29.0,7.0,22.0,114.0,25.0,33.0,44.0,22.0,35.0,17.0,49.0,5.0,3.0,2.0,3.0,31.0,114.0,47.0,14.0,79.0,2.0,1.0,13.0,33.0,12.0,10.0,114.0,37.0,1.0,0.0,2.0,28.0,114.0,93.0,77.0,57.0,13.0,3.0,2.0,6.0,30.0,114.0,114.0,10.0,8.0,2.0,2.0,4.0,50.0,86.0,94.0,98.0,1.0,1.0,5.0,5.0,1.0,2.0,114.0,10.0,0.0,0.0,0.0,0.0,15.0,38.0,33.0,4.0,1.0,0.0,0.0,0.0,5.0,64.0,24.0,11.0,28.0,2.0,0.0,0.0,5.0,15.0,16.0
