Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
1539.5469970703125,227.0760955810547,2.8854987621307373,168.3181610107422,0.11705666780471802,1.0,5.0,30.0,47.0,17.0,2.0,3.0,5.0,5.0,61.0,51.0,8.0,1.0,2.0,28.0,28.0,1.0,30.0,83.0,24.0,8.0,16.0,34.0,7.0,4.0,0.0,8.0,26.0,26.0,12.0,32.0,11.0,46.0,2.0,23.0,19.0,4.0,2.0,4.0,46.0,124.0,23.0,5.0,3.0,4.0,33.0,124.0,124.0,11.0,8.0,6.0,7.0,84.0,124.0,124.0,30.0,50.0,12.0,0.0,0.0,20.0,24.0,36.0,36.0,51.0,3.0,0.0,0.0,2.0,10.0,70.0,60.0,124.0,124.0,51.0,12.0,6.0,10.0,17.0,68.0,10.0,41.0,77.0,112.0,124.0,78.0,15.0,6.0,45.0,34.0,1.0,8.0,55.0,22.0,16.0,20.0,39.0,18.0,2.0,0.0,0.0,4.0,46.0,60.0,16.0,15.0,11.0,3.0,2.0,28.0,121.0,57.0,0.0,4.0,18.0,22.0,12.0,56.0,84.0,0.0,2.0,0.0,1.0,3.0,10.0,32.0,45.0,14.0
972.6668090820312,1856.312744140625,2.8403818607330322,342.3485412597656,0.08013777434825897,40.0,11.0,2.0,4.0,1.0,7.0,11.0,33.0,1.0,3.0,30.0,32.0,20.0,61.0,14.0,3.0,5.0,7.0,26.0,14.0,13.0,67.0,34.0,10.0,7.0,1.0,4.0,4.0,2.0,17.0,29.0,18.0,52.0,40.0,4.0,28.0,29.0,4.0,12.0,7.0,13.0,45.0,126.0,126.0,126.0,32.0,8.0,7.0,126.0,126.0,117.0,23.0,8.0,26.0,21.0,35.0,24.0,4.0,1.0,2.0,9.0,56.0,25.0,11.0,7.0,4.0,1.0,10.0,31.0,35.0,36.0,12.0,12.0,10.0,8.0,34.0,126.0,126.0,126.0,51.0,126.0,29.0,7.0,5.0,7.0,33.0,126.0,126.0,24.0,1.0,0.0,1.0,18.0,31.0,12.0,17.0,0.0,0.0,0.0,2.0,2.0,20.0,53.0,13.0,5.0,2.0,0.0,0.0,0.0,32.0,79.0,22.0,14.0,4.0,0.0,0.0,0.0,20.0,73.0,41.0,3.0,0.0,0.0,0.0,1.0,30.0,81.0,14.0
972.6668090820312,1856.312744140625,2.8403818607330322,257.18475341796875,0.08013777434825897,0.0,2.0,3.0,17.0,49.0,16.0,0.0,0.0,1.0,8.0,32.0,28.0,40.0,13.0,10.0,9.0,5.0,28.0,33.0,3.0,7.0,6.0,45.0,49.0,1.0,4.0,2.0,9.0,14.0,33.0,31.0,8.0,0.0,0.0,0.0,27.0,84.0,25.0,3.0,2.0,9.0,32.0,127.0,127.0,127.0,51.0,13.0,10.0,127.0,127.0,127.0,33.0,9.0,7.0,12.0,42.0,28.0,31.0,22.0,67.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,67.0,47.0,16.0,6.0,7.0,5.0,7.0,32.0,127.0,127.0,127.0,31.0,115.0,22.0,8.0,22.0,23.0,33.0,127.0,127.0,22.0,11.0,9.0,52.0,45.0,14.0,8.0,7.0,0.0,0.0,0.0,19.0,86.0,16.0,7.0,0.0,0.0,1.0,12.0,32.0,20.0,17.0,24.0,1.0,1.0,1.0,9.0,52.0,27.0,12.0,26.0,4.0,5.0,6.0,2.0,16.0,26.0,14.0,6.0,2.0
1509.288818359375,1599.770751953125,1.804766297340393,151.85079956054688,0.08540841192007065,66.0,73.0,55.0,9.0,0.0,0.0,2.0,2.0,32.0,30.0,75.0,55.0,16.0,16.0,9.0,7.0,37.0,13.0,10.0,40.0,31.0,27.0,36.0,26.0,2.0,1.0,1.0,46.0,103.0,56.0,18.0,13.0,71.0,33.0,41.0,66.0,3.0,0.0,0.0,9.0,113.0,45.0,75.0,52.0,3.0,0.0,0.0,45.0,66.0,14.0,11.0,105.0,86.0,7.0,10.0,40.0,7.0,2.0,3.0,82.0,44.0,20.0,53.0,39.0,50.0,14.0,8.0,113.0,29.0,0.0,0.0,7.0,113.0,85.0,69.0,50.0,3.0,0.0,0.0,13.0,81.0,69.0,113.0,78.0,31.0,4.0,9.0,18.0,51.0,27.0,26.0,14.0,25.0,41.0,51.0,42.0,23.0,1.0,0.0,36.0,44.0,9.0,12.0,40.0,52.0,11.0,30.0,71.0,21.0,0.0,1.0,33.0,113.0,41.0,49.0,46.0,3.0,0.0,0.0,34.0,51.0,55.0,84.0,60.0,3.0,1.0,1.0,2.0
1741.8609619140625,1044.648681640625,1.8090488910675049,82.77027130126953,0.09613008052110672,2.0,47.0,93.0,37.0,4.0,0.0,0.0,0.0,11.0,68.0,100.0,85.0,13.0,9.0,9.0,8.0,2.0,6.0,57.0,100.0,25.0,45.0,12.0,4.0,12.0,7.0,39.0,26.0,2.0,4.0,18.0,36.0,45.0,23.0,36.0,73.0,6.0,0.0,0.0,2.0,122.0,48.0,23.0,7.0,10.0,30.0,40.0,95.0,16.0,5.0,4.0,16.0,109.0,122.0,49.0,29.0,95.0,15.0,2.0,1.0,14.0,19.0,15.0,73.0,46.0,18.0,1.0,17.0,8.0,1.0,7.0,9.0,122.0,122.0,23.0,14.0,7.0,3.0,8.0,49.0,16.0,32.0,24.0,58.0,111.0,47.0,52.0,23.0,38.0,18.0,4.0,2.0,14.0,14.0,30.0,33.0,6.0,1.0,0.0,1.0,2.0,1.0,47.0,81.0,95.0,13.0,1.0,1.0,1.0,1.0,27.0,122.0,20.0,3.0,1.0,19.0,46.0,64.0,97.0,74.0,0.0,0.0,1.0,34.0,37.0,29.0,25.0,7.0
972.6668090820312,1856.312744140625,2.8403818607330322,177.6657257080078,0.08013777434825897,0.0,5.0,56.0,30.0,21.0,3.0,0.0,0.0,0.0,5.0,59.0,56.0,14.0,11.0,0.0,0.0,1.0,18.0,86.0,36.0,3.0,0.0,0.0,0.0,7.0,15.0,37.0,20.0,3.0,0.0,0.0,3.0,4.0,24.0,48.0,25.0,22.0,3.0,0.0,0.0,7.0,30.0,128.0,128.0,128.0,37.0,8.0,5.0,128.0,128.0,128.0,51.0,12.0,12.0,10.0,31.0,36.0,17.0,34.0,20.0,15.0,29.0,2.0,6.0,8.0,43.0,28.0,13.0,29.0,7.0,0.0,0.0,8.0,16.0,26.0,32.0,128.0,128.0,108.0,24.0,128.0,38.0,14.0,6.0,10.0,40.0,128.0,128.0,40.0,5.0,6.0,6.0,28.0,53.0,7.0,29.0,2.0,15.0,24.0,13.0,4.0,2.0,4.0,8.0,4.0,23.0,57.0,20.0,14.0,9.0,17.0,7.0,22.0,66.0,44.0,1.0,1.0,1.0,23.0,31.0,5.0,15.0,21.0,22.0,20.0,2.0,1.0,4.0
1759.0894775390625,2881.3779296875,1.8231821060180664,95.62187194824219,0.09513469785451889,73.0,55.0,30.0,30.0,15.0,3.0,3.0,39.0,11.0,11.0,19.0,80.0,57.0,4.0,19.0,54.0,57.0,17.0,5.0,3.0,1.0,8.0,36.0,120.0,12.0,1.0,0.0,0.0,13.0,98.0,42.0,23.0,66.0,81.0,38.0,13.0,8.0,0.0,0.0,11.0,120.0,29.0,17.0,21.0,8.0,4.0,57.0,120.0,33.0,18.0,21.0,39.0,44.0,30.0,97.0,120.0,13.0,21.0,41.0,66.0,66.0,42.0,14.0,15.0,88.0,27.0,0.0,1.0,8.0,3.0,4.0,20.0,120.0,120.0,77.0,15.0,3.0,1.0,3.0,32.0,41.0,48.0,120.0,120.0,43.0,7.0,9.0,29.0,9.0,7.0,27.0,44.0,52.0,37.0,16.0,23.0,11.0,2.0,0.0,0.0,1.0,4.0,18.0,61.0,20.0,34.0,21.0,0.0,0.0,0.0,22.0,37.0,108.0,33.0,33.0,4.0,0.0,0.0,4.0,35.0,24.0,11.0,18.0,25.0,48.0,17.0,5.0,13.0
1759.0894775390625,2881.3779296875,1.8231821060180664,150.2884521484375,0.09513469785451889,18.0,30.0,28.0,18.0,6.0,4.0,9.0,7.0,98.0,66.0,9.0,3.0,1.0,2.0,35.0,55.0,13.0,13.0,14.0,46.0,59.0,77.0,46.0,18.0,2.0,43.0,17.0,7.0,32.0,57.0,37.0,6.0,63.0,21.0,10.0,14.0,59.0,81.0,5.0,8.0,125.0,76.0,11.0,6.0,9.0,23.0,19.0,79.0,29.0,24.0,19.0,71.0,119.0,93.0,20.0,22.0,38.0,48.0,11.0,16.0,21.0,34.0,40.0,16.0,23.0,46.0,80.0,73.0,51.0,19.0,1.0,1.0,106.0,125.0,125.0,20.0,8.0,4.0,1.0,7.0,13.0,64.0,125.0,125.0,68.0,15.0,2.0,3.0,19.0,111.0,40.0,35.0,11.0,1.0,0.0,3.0,0.0,10.0,33.0,14.0,3.0,47.0,6.0,0.0,14.0,70.0,55.0,2.0,0.0,8.0,4.0,2.0,64.0,33.0,46.0,10.0,0.0,0.0,0.0,8.0,21.0,12.0,15.0,13.0,0.0,0.0,0.0,8.0
1539.5469970703125,227.0760955810547,2.8854987621307373,266.54925537109375,0.11705666780471802,45.0,28.0,9.0,1.0,1.0,9.0,14.0,6.0,20.0,33.0,60.0,35.0,1.0,0.0,20.0,29.0,26.0,23.0,22.0,28.0,1.0,10.0,51.0,30.0,64.0,8.0,0.0,0.0,1.0,5.0,9.0,31.0,35.0,10.0,1.0,8.0,63.0,37.0,14.0,15.0,124.0,32.0,12.0,8.0,5.0,7.0,71.0,124.0,19.0,6.0,9.0,44.0,82.0,111.0,124.0,83.0,115.0,5.0,1.0,5.0,16.0,19.0,9.0,38.0,26.0,27.0,5.0,50.0,85.0,6.0,0.0,2.0,124.0,124.0,124.0,27.0,6.0,3.0,3.0,30.0,14.0,62.0,124.0,124.0,50.0,11.0,4.0,9.0,89.0,97.0,28.0,16.0,9.0,1.0,1.0,7.0,2.0,6.0,2.0,10.0,25.0,36.0,21.0,2.0,1.0,35.0,50.0,3.0,20.0,34.0,5.0,1.0,52.0,52.0,64.0,5.0,1.0,2.0,3.0,5.0,48.0,45.0,22.0,16.0,5.0,0.0,0.0,2.0
1539.5469970703125,227.0760955810547,2.8854987621307373,314.95892333984375,0.11705666780471802,3.0,6.0,20.0,33.0,65.0,15.0,2.0,2.0,27.0,49.0,23.0,9.0,9.0,3.0,18.0,45.0,28.0,114.0,6.0,0.0,1.0,12.0,25.0,14.0,22.0,86.0,42.0,14.0,25.0,28.0,16.0,8.0,33.0,25.0,37.0,52.0,29.0,0.0,0.0,9.0,125.0,39.0,7.0,12.0,16.0,25.0,54.0,125.0,17.0,24.0,19.0,61.0,125.0,110.0,61.0,31.0,1.0,53.0,110.0,42.0,20.0,2.0,0.0,0.0,22.0,34.0,15.0,4.0,2.0,28.0,32.0,17.0,114.0,125.0,125.0,30.0,11.0,16.0,3.0,10.0,9.0,38.0,125.0,125.0,92.0,10.0,2.0,3.0,4.0,55.0,55.0,60.0,11.0,1.0,1.0,2.0,22.0,44.0,6.0,2.0,15.0,65.0,26.0,10.0,0.0,16.0,38.0,8.0,39.0,82.0,8.0,2.0,0.0,3.0,41.0,34.0,2.0,18.0,44.0,10.0,15.0,7.0,4.0,7.0,1.0,16.0,18.0,17.0
