Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
282.8438720703125,2.7762985229492188,2.0150575637817383,65.04314422607422,0.05096237361431122,40.0,57.0,81.0,8.0,1.0,2.0,24.0,80.0,79.0,54.0,41.0,16.0,1.0,1.0,10.0,34.0,7.0,11.0,29.0,58.0,11.0,4.0,18.0,10.0,11.0,1.0,3.0,15.0,8.0,10.0,15.0,17.0,8.0,1.0,31.0,81.0,4.0,3.0,84.0,142.0,30.0,49.0,135.0,142.0,6.0,1.0,11.0,31.0,142.0,128.0,59.0,19.0,6.0,6.0,12.0,14.0,19.0,2.0,1.0,11.0,46.0,23.0,12.0,8.0,0.0,0.0,32.0,122.0,3.0,1.0,4.0,3.0,114.0,24.0,86.0,142.0,0.0,0.0,0.0,17.0,142.0,40.0,11.0,8.0,15.0,0.0,0.0,41.0,46.0,6.0,2.0,36.0,74.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,93.0,0.0,0.0,6.0,10.0,0.0,0.0,20.0,25.0,3.0,1.0,30.0,39.0,0.0,0.0,19.0
307.3221130371094,744.6683959960938,2.0033934116363525,77.56019592285156,0.04864156246185303,28.0,0.0,0.0,4.0,12.0,3.0,7.0,31.0,5.0,3.0,1.0,47.0,74.0,1.0,0.0,2.0,21.0,7.0,1.0,13.0,26.0,7.0,1.0,1.0,1.0,0.0,0.0,3.0,20.0,14.0,10.0,2.0,8.0,4.0,17.0,22.0,42.0,5.0,14.0,11.0,18.0,13.0,8.0,101.0,126.0,1.0,0.0,1.0,126.0,31.0,6.0,16.0,22.0,32.0,21.0,21.0,7.0,0.0,0.0,5.0,48.0,89.0,53.0,8.0,0.0,48.0,126.0,28.0,22.0,1.0,0.0,0.0,23.0,21.0,126.0,83.0,104.0,3.0,1.0,3.0,126.0,115.0,57.0,7.0,15.0,5.0,3.0,14.0,13.0,20.0,52.0,33.0,120.0,24.0,3.0,3.0,0.0,24.0,126.0,2.0,0.0,0.0,0.0,0.0,1.0,25.0,126.0,11.0,0.0,0.0,0.0,0.0,5.0,119.0,126.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,126.0,27.0,11.0,1.0,0.0,0.0
319.5122985839844,743.9544067382812,1.9152460098266602,274.05352783203125,0.07665184140205383,18.0,0.0,0.0,0.0,6.0,12.0,13.0,13.0,11.0,0.0,0.0,0.0,3.0,17.0,59.0,32.0,3.0,0.0,0.0,0.0,1.0,17.0,81.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,68.0,87.0,32.0,0.0,0.0,0.0,37.0,81.0,41.0,24.0,129.0,2.0,0.0,0.0,12.0,25.0,79.0,129.0,24.0,0.0,0.0,1.0,77.0,126.0,111.0,67.0,82.0,18.0,0.0,0.0,3.0,7.0,35.0,109.0,55.0,10.0,2.0,32.0,129.0,29.0,3.0,6.0,129.0,47.0,2.0,15.0,38.0,5.0,3.0,19.0,65.0,10.0,2.0,34.0,129.0,28.0,13.0,57.0,43.0,9.0,0.0,0.0,6.0,33.0,38.0,72.0,27.0,12.0,15.0,80.0,32.0,0.0,0.0,0.0,129.0,57.0,2.0,20.0,10.0,0.0,0.0,0.0,94.0,17.0,1.0,41.0,32.0,0.0,2.0,19.0,51.0,1.0,1.0,1.0,20.0,35.0,9.0,23.0
311.0085754394531,743.517578125,2.9845499992370605,358.6192626953125,0.060874707996845245,85.0,13.0,0.0,1.0,53.0,3.0,0.0,2.0,148.0,124.0,17.0,0.0,0.0,0.0,1.0,11.0,37.0,82.0,116.0,1.0,1.0,10.0,6.0,8.0,0.0,8.0,37.0,0.0,0.0,5.0,5.0,0.0,93.0,13.0,0.0,5.0,73.0,0.0,0.0,2.0,148.0,62.0,9.0,1.0,0.0,0.0,11.0,96.0,39.0,42.0,46.0,34.0,22.0,11.0,51.0,65.0,1.0,7.0,21.0,19.0,8.0,2.0,2.0,1.0,78.0,26.0,1.0,12.0,67.0,0.0,0.0,1.0,148.0,148.0,34.0,2.0,0.0,0.0,1.0,19.0,41.0,87.0,88.0,58.0,22.0,6.0,10.0,12.0,3.0,4.0,5.0,19.0,11.0,4.0,9.0,3.0,32.0,19.0,2.0,14.0,41.0,1.0,0.0,2.0,148.0,100.0,10.0,0.0,0.0,0.0,1.0,34.0,52.0,69.0,54.0,12.0,1.0,0.0,5.0,31.0,4.0,12.0,28.0,6.0,0.0,0.0,2.0,2.0
301.90765380859375,743.4911499023438,4.097475051879883,358.4483642578125,0.054781537503004074,13.0,10.0,9.0,23.0,7.0,18.0,8.0,2.0,112.0,84.0,1.0,0.0,0.0,1.0,10.0,62.0,139.0,44.0,0.0,0.0,0.0,1.0,78.0,73.0,6.0,1.0,0.0,0.0,0.0,0.0,17.0,4.0,21.0,2.0,0.0,1.0,82.0,82.0,18.0,7.0,139.0,23.0,0.0,0.0,5.0,3.0,2.0,139.0,126.0,22.0,4.0,0.0,0.0,6.0,16.0,139.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,28.0,4.0,0.0,4.0,139.0,15.0,0.0,1.0,139.0,90.0,4.0,1.0,12.0,1.0,1.0,28.0,74.0,87.0,55.0,2.0,1.0,4.0,6.0,22.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,18.0,4.0,1.0,20.0,139.0,0.0,0.0,0.0,139.0,64.0,5.0,2.0,10.0,0.0,0.0,18.0,52.0,44.0,22.0,22.0,7.0,1.0,3.0,16.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0
229.9636688232422,743.3726806640625,1.8031619787216187,269.4715881347656,0.05781017243862152,26.0,1.0,0.0,0.0,38.0,54.0,38.0,11.0,130.0,4.0,0.0,0.0,36.0,12.0,1.0,20.0,41.0,0.0,0.0,0.0,130.0,35.0,0.0,6.0,121.0,6.0,2.0,4.0,8.0,3.0,1.0,7.0,30.0,1.0,0.0,0.0,130.0,26.0,1.0,2.0,130.0,7.0,1.0,1.0,41.0,15.0,2.0,11.0,51.0,1.0,1.0,2.0,130.0,58.0,3.0,9.0,130.0,1.0,0.0,0.0,13.0,4.0,7.0,39.0,27.0,4.0,1.0,13.0,130.0,5.0,0.0,1.0,130.0,24.0,5.0,7.0,42.0,2.0,0.0,3.0,53.0,5.0,5.0,23.0,130.0,6.0,1.0,5.0,130.0,1.0,0.0,1.0,15.0,1.0,1.0,17.0,7.0,11.0,30.0,66.0,46.0,0.0,0.0,0.0,60.0,93.0,30.0,19.0,12.0,0.0,0.0,0.0,34.0,22.0,27.0,73.0,56.0,0.0,0.0,1.0,130.0,9.0,1.0,4.0,5.0,0.0,0.0,1.0
229.9636688232422,743.3726806640625,1.8031619787216187,85.94842529296875,0.05781017243862152,4.0,0.0,0.0,8.0,129.0,4.0,1.0,2.0,51.0,0.0,0.0,2.0,47.0,16.0,24.0,74.0,10.0,0.0,0.0,1.0,60.0,93.0,31.0,24.0,31.0,0.0,0.0,0.0,10.0,14.0,31.0,63.0,12.0,0.0,2.0,34.0,130.0,1.0,0.0,1.0,130.0,3.0,1.0,9.0,53.0,3.0,5.0,36.0,40.0,1.0,0.0,11.0,130.0,15.0,6.0,11.0,130.0,1.0,0.0,2.0,30.0,3.0,2.0,28.0,17.0,4.0,7.0,48.0,127.0,0.0,0.0,0.0,130.0,44.0,3.0,13.0,48.0,0.0,1.0,5.0,44.0,11.0,1.0,25.0,130.0,1.0,1.0,1.0,130.0,10.0,1.0,4.0,26.0,0.0,0.0,2.0,13.0,2.0,1.0,14.0,119.0,3.0,1.0,3.0,130.0,22.0,0.0,10.0,36.0,0.0,0.0,2.0,30.0,9.0,2.0,29.0,130.0,0.0,0.0,0.0,54.0,56.0,37.0,10.0,16.0,0.0,0.0,0.0
295.4560241699219,743.0439453125,3.1111810207366943,353.4461364746094,0.05394507944583893,14.0,6.0,4.0,10.0,7.0,5.0,8.0,11.0,35.0,12.0,0.0,0.0,0.0,0.0,70.0,108.0,10.0,6.0,0.0,0.0,0.0,26.0,137.0,44.0,0.0,0.0,0.0,0.0,0.0,31.0,126.0,1.0,32.0,27.0,4.0,7.0,2.0,5.0,0.0,6.0,95.0,137.0,17.0,0.0,0.0,0.0,10.0,64.0,137.0,109.0,6.0,0.0,0.0,10.0,89.0,61.0,23.0,3.0,0.0,0.0,0.0,18.0,82.0,9.0,40.0,3.0,0.0,0.0,28.0,13.0,0.0,33.0,111.0,21.0,2.0,0.0,0.0,0.0,45.0,137.0,137.0,25.0,7.0,1.0,2.0,9.0,48.0,137.0,21.0,12.0,11.0,1.0,1.0,2.0,1.0,2.0,90.0,3.0,0.0,2.0,37.0,1.0,0.0,15.0,137.0,37.0,7.0,0.0,0.0,1.0,9.0,86.0,24.0,24.0,32.0,2.0,4.0,30.0,24.0,28.0,0.0,2.0,7.0,1.0,1.0,9.0,6.0,0.0
444.16949462890625,6.3239312171936035,2.4731504917144775,58.534393310546875,0.060980070382356644,17.0,7.0,4.0,13.0,37.0,16.0,43.0,27.0,14.0,1.0,1.0,56.0,157.0,25.0,17.0,4.0,157.0,6.0,3.0,15.0,50.0,2.0,3.0,73.0,53.0,6.0,28.0,29.0,1.0,1.0,20.0,38.0,23.0,33.0,26.0,33.0,51.0,3.0,0.0,0.0,33.0,8.0,2.0,80.0,157.0,24.0,0.0,4.0,157.0,51.0,5.0,15.0,39.0,4.0,0.0,25.0,37.0,14.0,17.0,42.0,9.0,1.0,0.0,1.0,31.0,42.0,11.0,8.0,26.0,8.0,0.0,1.0,31.0,6.0,2.0,32.0,157.0,94.0,4.0,12.0,157.0,16.0,1.0,5.0,32.0,22.0,5.0,47.0,32.0,3.0,2.0,9.0,17.0,8.0,3.0,5.0,8.0,3.0,2.0,12.0,4.0,0.0,0.0,0.0,23.0,5.0,3.0,99.0,70.0,5.0,0.0,9.0,157.0,11.0,3.0,15.0,11.0,3.0,3.0,67.0,25.0,1.0,3.0,13.0,34.0,19.0,10.0,18.0
444.16949462890625,6.3239312171936035,2.4731504917144775,231.9857177734375,0.060980070382356644,40.0,16.0,8.0,12.0,9.0,1.0,2.0,11.0,6.0,4.0,6.0,90.0,144.0,4.0,3.0,8.0,43.0,2.0,0.0,25.0,39.0,4.0,4.0,106.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,22.0,14.0,4.0,2.0,6.0,23.0,3.0,2.0,14.0,27.0,14.0,5.0,78.0,144.0,5.0,1.0,5.0,144.0,53.0,4.0,18.0,34.0,3.0,2.0,49.0,30.0,4.0,0.0,2.0,36.0,28.0,6.0,14.0,4.0,0.0,0.0,8.0,54.0,11.0,29.0,40.0,43.0,2.0,1.0,53.0,144.0,19.0,4.0,24.0,144.0,13.0,0.0,5.0,24.0,4.0,3.0,119.0,34.0,2.0,0.0,0.0,30.0,40.0,22.0,28.0,0.0,2.0,32.0,75.0,71.0,5.0,20.0,11.0,73.0,2.0,1.0,96.0,144.0,2.0,1.0,36.0,144.0,23.0,16.0,3.0,3.0,0.0,1.0,94.0,19.0,8.0,25.0,22.0,30.0,10.0,6.0,16.0
