Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
306.2900390625,282.8851013183594,1.8738720417022705,54.013099670410156,0.054878152906894684,2.0,30.0,40.0,19.0,61.0,12.0,3.0,4.0,68.0,20.0,7.0,10.0,115.0,56.0,23.0,23.0,115.0,63.0,27.0,5.0,12.0,14.0,13.0,36.0,6.0,13.0,32.0,26.0,115.0,56.0,2.0,4.0,32.0,75.0,24.0,41.0,67.0,3.0,1.0,3.0,97.0,41.0,4.0,6.0,33.0,47.0,103.0,90.0,35.0,52.0,58.0,28.0,109.0,45.0,54.0,32.0,13.0,53.0,62.0,41.0,64.0,8.0,0.0,1.0,69.0,23.0,8.0,17.0,81.0,37.0,25.0,55.0,115.0,43.0,30.0,77.0,18.0,5.0,9.0,63.0,10.0,6.0,15.0,115.0,115.0,15.0,20.0,27.0,23.0,11.0,3.0,26.0,93.0,8.0,14.0,39.0,29.0,10.0,1.0,1.0,17.0,30.0,22.0,44.0,21.0,7.0,11.0,38.0,48.0,14.0,7.0,37.0,15.0,1.0,4.0,21.0,8.0,5.0,16.0,50.0,8.0,1.0,0.0,4.0,94.0,43.0,17.0,23.0
983.7301025390625,2128.6044921875,2.1368656158447266,151.94671630859375,0.05501167103648186,18.0,33.0,6.0,2.0,1.0,8.0,25.0,10.0,13.0,25.0,42.0,51.0,19.0,11.0,4.0,7.0,82.0,68.0,31.0,18.0,8.0,8.0,9.0,33.0,15.0,8.0,7.0,59.0,30.0,16.0,28.0,7.0,3.0,22.0,25.0,15.0,28.0,131.0,17.0,0.0,17.0,31.0,114.0,131.0,39.0,62.0,17.0,6.0,131.0,131.0,50.0,31.0,7.0,8.0,9.0,33.0,39.0,13.0,3.0,39.0,81.0,85.0,15.0,9.0,1.0,10.0,12.0,6.0,40.0,131.0,16.0,0.0,13.0,3.0,6.0,21.0,24.0,131.0,131.0,15.0,131.0,15.0,2.0,3.0,2.0,57.0,122.0,85.0,67.0,7.0,1.0,3.0,12.0,44.0,15.0,16.0,5.0,29.0,9.0,1.0,3.0,18.0,19.0,2.0,1.0,5.0,24.0,15.0,9.0,34.0,55.0,1.0,15.0,10.0,49.0,8.0,1.0,26.0,62.0,21.0,14.0,9.0,50.0,4.0,4.0,5.0,4.0,11.0
961.0409545898438,2121.325439453125,3.487262010574341,71.65718078613281,0.05089591443538666,44.0,2.0,0.0,4.0,21.0,49.0,66.0,38.0,18.0,5.0,7.0,54.0,82.0,92.0,74.0,33.0,118.0,14.0,6.0,14.0,9.0,10.0,29.0,109.0,26.0,1.0,7.0,27.0,23.0,7.0,4.0,8.0,90.0,68.0,31.0,12.0,11.0,26.0,26.0,6.0,9.0,20.0,46.0,118.0,96.0,71.0,61.0,12.0,118.0,118.0,46.0,28.0,12.0,8.0,20.0,43.0,18.0,16.0,19.0,10.0,20.0,15.0,3.0,3.0,53.0,118.0,96.0,13.0,7.0,0.0,0.0,2.0,51.0,48.0,30.0,48.0,118.0,67.0,4.0,17.0,118.0,40.0,20.0,10.0,26.0,21.0,4.0,42.0,26.0,27.0,41.0,9.0,1.0,0.0,1.0,2.0,73.0,31.0,22.0,6.0,0.0,0.0,0.0,78.0,69.0,16.0,21.0,54.0,42.0,47.0,7.0,56.0,70.0,15.0,8.0,12.0,15.0,19.0,9.0,42.0,29.0,18.0,14.0,16.0,8.0,2.0,1.0,4.0
983.7301025390625,2128.6044921875,2.1368656158447266,262.0380859375,0.05501167103648186,29.0,3.0,1.0,2.0,4.0,67.0,100.0,58.0,75.0,7.0,36.0,23.0,1.0,2.0,19.0,75.0,14.0,20.0,68.0,37.0,10.0,7.0,4.0,5.0,12.0,7.0,6.0,2.0,46.0,36.0,1.0,2.0,6.0,8.0,64.0,76.0,18.0,11.0,28.0,14.0,12.0,14.0,132.0,132.0,44.0,24.0,8.0,10.0,132.0,80.0,132.0,65.0,2.0,4.0,2.0,10.0,74.0,16.0,2.0,1.0,33.0,31.0,6.0,8.0,6.0,8.0,36.0,42.0,48.0,58.0,21.0,14.0,19.0,7.0,23.0,53.0,60.0,132.0,55.0,32.0,132.0,18.0,10.0,6.0,5.0,45.0,30.0,121.0,83.0,10.0,0.0,8.0,6.0,7.0,3.0,24.0,5.0,10.0,13.0,45.0,32.0,23.0,7.0,5.0,20.0,8.0,4.0,22.0,33.0,31.0,10.0,25.0,88.0,0.0,0.0,2.0,12.0,15.0,10.0,132.0,17.0,2.0,1.0,11.0,36.0,4.0,4.0,29.0
958.2050170898438,2129.559326171875,3.9065768718719482,80.70951843261719,0.0564422532916069,35.0,22.0,30.0,30.0,37.0,7.0,6.0,12.0,59.0,4.0,9.0,16.0,11.0,8.0,53.0,114.0,29.0,7.0,12.0,54.0,35.0,22.0,42.0,46.0,15.0,0.0,1.0,31.0,26.0,15.0,75.0,100.0,56.0,17.0,33.0,9.0,4.0,4.0,47.0,109.0,95.0,26.0,45.0,90.0,35.0,12.0,14.0,48.0,114.0,54.0,33.0,36.0,6.0,7.0,29.0,40.0,25.0,2.0,0.0,27.0,51.0,10.0,56.0,39.0,90.0,16.0,0.0,0.0,4.0,27.0,68.0,94.0,16.0,5.0,5.0,25.0,63.0,114.0,97.0,32.0,114.0,54.0,11.0,13.0,11.0,19.0,35.0,77.0,31.0,14.0,3.0,12.0,26.0,26.0,1.0,2.0,90.0,114.0,22.0,3.0,1.0,4.0,6.0,3.0,6.0,29.0,43.0,62.0,86.0,35.0,20.0,3.0,75.0,101.0,23.0,31.0,41.0,14.0,5.0,7.0,26.0,48.0,27.0,7.0,3.0,2.0,0.0,0.0
790.6279296875,2129.90087890625,1.991146445274353,124.30715942382812,0.054789699614048004,10.0,37.0,126.0,44.0,10.0,16.0,4.0,1.0,108.0,57.0,17.0,1.0,2.0,11.0,57.0,65.0,15.0,1.0,0.0,23.0,93.0,64.0,103.0,51.0,4.0,1.0,1.0,19.0,93.0,41.0,4.0,2.0,30.0,20.0,23.0,8.0,5.0,44.0,54.0,38.0,126.0,68.0,11.0,13.0,9.0,0.0,12.0,91.0,56.0,15.0,9.0,126.0,126.0,7.0,5.0,10.0,7.0,0.0,0.0,61.0,90.0,3.0,1.0,14.0,12.0,31.0,40.0,24.0,8.0,14.0,16.0,19.0,63.0,126.0,112.0,13.0,3.0,2.0,9.0,37.0,14.0,35.0,103.0,107.0,88.0,9.0,12.0,4.0,14.0,5.0,0.0,12.0,27.0,14.0,78.0,41.0,20.0,30.0,18.0,5.0,5.0,7.0,2.0,5.0,36.0,53.0,21.0,1.0,3.0,18.0,28.0,24.0,19.0,29.0,23.0,5.0,7.0,32.0,14.0,7.0,40.0,75.0,4.0,0.0,0.0,8.0,33.0,18.0
973.28857421875,2388.48193359375,3.3856518268585205,120.19354248046875,0.051432639360427856,37.0,18.0,6.0,6.0,2.0,4.0,3.0,7.0,7.0,18.0,70.0,17.0,6.0,4.0,4.0,1.0,17.0,23.0,34.0,18.0,46.0,9.0,7.0,9.0,87.0,22.0,4.0,3.0,9.0,7.0,3.0,19.0,22.0,4.0,4.0,14.0,51.0,22.0,20.0,31.0,19.0,50.0,131.0,105.0,131.0,10.0,1.0,1.0,131.0,131.0,89.0,18.0,13.0,5.0,4.0,13.0,61.0,79.0,9.0,3.0,8.0,7.0,2.0,13.0,9.0,1.0,15.0,92.0,68.0,17.0,5.0,12.0,53.0,8.0,12.0,113.0,131.0,30.0,5.0,33.0,131.0,42.0,18.0,9.0,23.0,10.0,4.0,74.0,34.0,53.0,18.0,15.0,17.0,9.0,4.0,9.0,5.0,1.0,4.0,36.0,58.0,90.0,1.0,1.0,33.0,1.0,3.0,32.0,44.0,106.0,42.0,49.0,85.0,13.0,11.0,2.0,2.0,7.0,35.0,105.0,21.0,9.0,8.0,3.0,1.0,1.0,20.0,55.0
350.8894348144531,497.65155029296875,2.1130623817443848,110.21528625488281,0.060580845922231674,0.0,6.0,32.0,38.0,75.0,36.0,0.0,0.0,37.0,11.0,24.0,6.0,27.0,62.0,13.0,23.0,142.0,22.0,2.0,0.0,0.0,3.0,5.0,57.0,54.0,3.0,0.0,0.0,0.0,3.0,10.0,14.0,0.0,2.0,7.0,4.0,82.0,142.0,1.0,0.0,42.0,40.0,68.0,28.0,44.0,109.0,12.0,9.0,142.0,81.0,16.0,2.0,1.0,5.0,4.0,30.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,7.0,102.0,69.0,8.0,3.0,27.0,5.0,5.0,6.0,37.0,142.0,79.0,25.0,142.0,70.0,2.0,2.0,9.0,43.0,26.0,51.0,44.0,43.0,13.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,31.0,54.0,8.0,1.0,1.0,2.0,4.0,76.0,66.0,43.0,22.0,5.0,3.0,23.0,122.0,47.0,33.0,18.0,11.0,2.0,1.0,14.0,140.0,38.0,13.0,3.0,1.0,0.0,0.0
790.6279296875,2129.90087890625,1.991146445274353,322.6265869140625,0.054789699614048004,3.0,9.0,5.0,4.0,13.0,52.0,14.0,3.0,5.0,26.0,41.0,16.0,9.0,26.0,38.0,9.0,0.0,1.0,8.0,20.0,32.0,55.0,45.0,3.0,13.0,9.0,3.0,0.0,1.0,6.0,31.0,59.0,15.0,9.0,44.0,61.0,24.0,52.0,8.0,5.0,83.0,13.0,12.0,5.0,8.0,26.0,125.0,99.0,6.0,0.0,4.0,33.0,106.0,97.0,135.0,18.0,12.0,29.0,57.0,42.0,23.0,10.0,15.0,15.0,65.0,10.0,19.0,31.0,25.0,0.0,0.0,6.0,135.0,24.0,4.0,3.0,16.0,18.0,11.0,39.0,45.0,4.0,4.0,37.0,135.0,135.0,16.0,9.0,3.0,6.0,22.0,26.0,53.0,79.0,75.0,39.0,44.0,16.0,1.0,5.0,20.0,4.0,0.0,3.0,135.0,110.0,38.0,21.0,2.0,1.0,0.0,6.0,17.0,21.0,66.0,135.0,53.0,33.0,4.0,1.0,5.0,16.0,30.0,13.0,11.0,28.0,45.0,23.0
980.4744262695312,2112.900390625,2.939194917678833,275.68994140625,0.0507696270942688,4.0,1.0,4.0,29.0,57.0,29.0,21.0,11.0,21.0,44.0,66.0,74.0,96.0,12.0,0.0,1.0,119.0,72.0,27.0,12.0,13.0,2.0,8.0,40.0,26.0,14.0,30.0,18.0,4.0,3.0,7.0,34.0,17.0,34.0,68.0,98.0,49.0,7.0,1.0,2.0,57.0,34.0,11.0,14.0,132.0,51.0,5.0,8.0,132.0,64.0,2.0,11.0,53.0,10.0,4.0,24.0,35.0,34.0,39.0,63.0,105.0,21.0,2.0,6.0,63.0,23.0,14.0,26.0,26.0,22.0,20.0,79.0,53.0,7.0,1.0,1.0,57.0,132.0,65.0,74.0,132.0,11.0,0.0,0.0,24.0,54.0,45.0,94.0,32.0,8.0,1.0,2.0,82.0,104.0,16.0,13.0,99.0,42.0,2.0,2.0,7.0,4.0,6.0,36.0,46.0,5.0,0.0,1.0,10.0,55.0,13.0,25.0,27.0,17.0,0.0,0.0,13.0,47.0,11.0,10.0,16.0,16.0,2.0,6.0,19.0,27.0,3.0,1.0
