Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
3821.019775390625,2288.47265625,2.4302797317504883,93.74645233154297,0.11951816082000732,6.0,8.0,3.0,3.0,3.0,8.0,3.0,2.0,0.0,4.0,31.0,58.0,13.0,11.0,10.0,1.0,11.0,33.0,39.0,17.0,12.0,26.0,19.0,7.0,17.0,4.0,0.0,0.0,0.0,5.0,14.0,14.0,8.0,23.0,6.0,21.0,26.0,1.0,0.0,0.0,20.0,33.0,68.0,147.0,147.0,14.0,3.0,5.0,147.0,147.0,80.0,61.0,17.0,6.0,8.0,25.0,45.0,5.0,0.0,0.0,1.0,23.0,20.0,10.0,5.0,4.0,1.0,9.0,39.0,18.0,7.0,2.0,22.0,4.0,3.0,48.0,147.0,147.0,73.0,37.0,147.0,15.0,3.0,8.0,17.0,41.0,63.0,147.0,64.0,1.0,0.0,3.0,14.0,23.0,8.0,21.0,0.0,0.0,0.0,1.0,14.0,11.0,6.0,1.0,5.0,1.0,0.0,14.0,63.0,63.0,23.0,8.0,142.0,9.0,2.0,7.0,16.0,15.0,19.0,49.0,33.0,6.0,6.0,27.0,11.0,1.0,0.0,4.0
4189.68994140625,9921.916015625,2.7734758853912354,245.94956970214844,0.10527653247117996,7.0,11.0,2.0,3.0,11.0,6.0,4.0,5.0,3.0,20.0,45.0,64.0,18.0,0.0,0.0,1.0,22.0,73.0,46.0,12.0,2.0,3.0,2.0,2.0,5.0,3.0,0.0,6.0,12.0,6.0,4.0,2.0,1.0,0.0,9.0,41.0,33.0,8.0,6.0,5.0,29.0,42.0,69.0,148.0,148.0,19.0,7.0,13.0,148.0,148.0,70.0,56.0,19.0,4.0,5.0,42.0,38.0,8.0,0.0,10.0,29.0,4.0,3.0,5.0,0.0,0.0,9.0,35.0,41.0,29.0,6.0,5.0,22.0,4.0,5.0,54.0,148.0,148.0,112.0,85.0,148.0,13.0,2.0,12.0,16.0,22.0,74.0,148.0,25.0,12.0,6.0,19.0,14.0,2.0,1.0,10.0,2.0,1.0,0.0,17.0,20.0,19.0,5.0,4.0,28.0,26.0,16.0,42.0,25.0,31.0,23.0,23.0,38.0,17.0,2.0,3.0,6.0,8.0,17.0,52.0,1.0,6.0,2.0,6.0,14.0,25.0,4.0,1.0
4189.68994140625,9921.916015625,2.7734758853912354,87.78176879882812,0.10527653247117996,4.0,13.0,12.0,11.0,20.0,13.0,0.0,0.0,19.0,11.0,19.0,33.0,43.0,60.0,18.0,15.0,34.0,42.0,38.0,15.0,3.0,1.0,3.0,13.0,15.0,23.0,9.0,3.0,1.0,2.0,2.0,7.0,26.0,13.0,5.0,8.0,29.0,6.0,5.0,7.0,16.0,37.0,77.0,147.0,147.0,40.0,2.0,4.0,147.0,147.0,106.0,55.0,24.0,9.0,4.0,24.0,58.0,11.0,5.0,3.0,1.0,0.0,3.0,32.0,19.0,8.0,2.0,6.0,22.0,15.0,5.0,5.0,22.0,9.0,4.0,22.0,147.0,147.0,54.0,26.0,147.0,29.0,4.0,8.0,28.0,89.0,91.0,147.0,60.0,9.0,6.0,6.0,8.0,4.0,2.0,11.0,20.0,8.0,2.0,7.0,4.0,2.0,0.0,2.0,10.0,7.0,5.0,3.0,15.0,64.0,27.0,3.0,13.0,2.0,1.0,0.0,2.0,31.0,73.0,45.0,11.0,2.0,0.0,0.0,2.0,10.0,13.0,15.0
4136.12841796875,1652.718017578125,2.6882896423339844,215.4625701904297,0.10402623564004898,11.0,32.0,68.0,17.0,3.0,12.0,17.0,5.0,1.0,13.0,48.0,80.0,45.0,48.0,50.0,2.0,30.0,13.0,12.0,36.0,27.0,9.0,22.0,40.0,15.0,3.0,4.0,6.0,3.0,3.0,10.0,51.0,4.0,13.0,29.0,40.0,43.0,22.0,18.0,2.0,19.0,39.0,123.0,134.0,81.0,26.0,13.0,13.0,134.0,130.0,75.0,65.0,8.0,3.0,9.0,59.0,38.0,9.0,4.0,43.0,36.0,9.0,9.0,14.0,3.0,6.0,39.0,36.0,51.0,33.0,18.0,12.0,14.0,5.0,10.0,59.0,101.0,134.0,134.0,79.0,134.0,16.0,8.0,9.0,5.0,17.0,121.0,134.0,16.0,2.0,2.0,14.0,25.0,29.0,29.0,23.0,4.0,4.0,16.0,6.0,1.0,5.0,48.0,47.0,2.0,1.0,6.0,8.0,4.0,5.0,56.0,43.0,1.0,5.0,29.0,17.0,2.0,2.0,28.0,23.0,2.0,16.0,13.0,3.0,1.0,5.0,8.0,4.0
4136.12841796875,1652.718017578125,2.6882896423339844,90.59097290039062,0.10402623564004898,11.0,14.0,1.0,3.0,7.0,1.0,1.0,3.0,8.0,6.0,16.0,42.0,78.0,8.0,2.0,7.0,36.0,44.0,39.0,27.0,10.0,3.0,5.0,27.0,12.0,24.0,14.0,16.0,2.0,1.0,3.0,5.0,24.0,3.0,1.0,14.0,34.0,3.0,3.0,21.0,13.0,26.0,62.0,131.0,131.0,48.0,5.0,6.0,131.0,131.0,93.0,62.0,17.0,14.0,12.0,28.0,62.0,18.0,5.0,8.0,2.0,3.0,21.0,80.0,4.0,6.0,18.0,22.0,29.0,8.0,4.0,9.0,13.0,11.0,8.0,24.0,131.0,131.0,88.0,15.0,131.0,43.0,2.0,6.0,16.0,97.0,119.0,99.0,73.0,64.0,34.0,67.0,5.0,1.0,5.0,32.0,8.0,23.0,14.0,28.0,40.0,10.0,2.0,1.0,29.0,51.0,11.0,9.0,8.0,29.0,20.0,3.0,6.0,8.0,2.0,7.0,43.0,55.0,25.0,5.0,7.0,20.0,16.0,75.0,84.0,32.0,3.0,2.0
3923.78857421875,1862.5025634765625,1.9842407703399658,77.50985717773438,0.10920890420675278,18.0,9.0,3.0,3.0,3.0,3.0,6.0,10.0,5.0,6.0,53.0,56.0,2.0,3.0,21.0,45.0,7.0,31.0,57.0,23.0,14.0,18.0,8.0,7.0,2.0,2.0,3.0,4.0,8.0,8.0,3.0,3.0,15.0,9.0,4.0,32.0,28.0,5.0,3.0,2.0,34.0,49.0,104.0,153.0,153.0,16.0,1.0,5.0,153.0,153.0,91.0,47.0,14.0,6.0,1.0,8.0,29.0,4.0,1.0,2.0,17.0,17.0,4.0,2.0,3.0,1.0,2.0,8.0,47.0,23.0,3.0,9.0,42.0,8.0,3.0,39.0,153.0,153.0,49.0,42.0,153.0,30.0,3.0,7.0,16.0,39.0,43.0,120.0,41.0,9.0,3.0,4.0,7.0,4.0,2.0,4.0,1.0,2.0,9.0,4.0,9.0,6.0,3.0,7.0,2.0,1.0,1.0,2.0,29.0,102.0,46.0,12.0,48.0,7.0,0.0,0.0,2.0,25.0,45.0,53.0,30.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0
3948.8193359375,5954.5771484375,2.0353105068206787,93.34886169433594,0.10538896173238754,30.0,22.0,54.0,23.0,11.0,4.0,7.0,13.0,16.0,8.0,24.0,41.0,29.0,29.0,30.0,11.0,40.0,37.0,24.0,10.0,14.0,9.0,2.0,5.0,27.0,11.0,5.0,2.0,1.0,0.0,1.0,12.0,36.0,11.0,12.0,32.0,41.0,7.0,57.0,89.0,28.0,37.0,98.0,129.0,129.0,12.0,8.0,16.0,129.0,127.0,75.0,32.0,7.0,3.0,6.0,45.0,38.0,4.0,1.0,1.0,2.0,4.0,12.0,43.0,2.0,1.0,1.0,46.0,126.0,10.0,21.0,13.0,19.0,6.0,5.0,71.0,129.0,65.0,129.0,96.0,129.0,19.0,4.0,4.0,5.0,8.0,112.0,129.0,41.0,4.0,0.0,0.0,3.0,13.0,4.0,13.0,1.0,0.0,1.0,24.0,46.0,14.0,14.0,7.0,26.0,1.0,0.0,1.0,20.0,17.0,69.0,86.0,18.0,2.0,0.0,0.0,2.0,10.0,45.0,42.0,7.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0
3948.8193359375,5954.5771484375,2.0353105068206787,290.49951171875,0.10538896173238754,5.0,4.0,11.0,6.0,4.0,3.0,2.0,5.0,0.0,4.0,29.0,79.0,47.0,9.0,0.0,0.0,64.0,54.0,43.0,64.0,25.0,1.0,0.0,3.0,48.0,13.0,2.0,2.0,2.0,3.0,1.0,8.0,0.0,6.0,6.0,14.0,41.0,19.0,0.0,0.0,6.0,13.0,80.0,138.0,138.0,45.0,5.0,4.0,138.0,104.0,81.0,93.0,21.0,10.0,6.0,32.0,112.0,12.0,33.0,80.0,14.0,2.0,1.0,4.0,2.0,12.0,7.0,21.0,39.0,9.0,0.0,1.0,6.0,3.0,4.0,35.0,138.0,138.0,63.0,25.0,138.0,20.0,7.0,10.0,23.0,51.0,88.0,138.0,42.0,4.0,9.0,50.0,70.0,36.0,25.0,34.0,1.0,1.0,1.0,14.0,29.0,10.0,4.0,3.0,2.0,2.0,1.0,9.0,31.0,52.0,21.0,6.0,23.0,35.0,19.0,8.0,12.0,24.0,24.0,32.0,30.0,21.0,24.0,13.0,10.0,11.0,10.0,15.0
3680.125244140625,6858.99755859375,2.4162521362304688,297.9233093261719,0.11030933260917664,4.0,20.0,6.0,11.0,20.0,1.0,1.0,2.0,17.0,8.0,15.0,131.0,156.0,1.0,0.0,1.0,156.0,51.0,24.0,42.0,24.0,0.0,0.0,25.0,47.0,6.0,1.0,1.0,2.0,3.0,0.0,7.0,10.0,5.0,1.0,5.0,47.0,14.0,9.0,33.0,54.0,7.0,1.0,64.0,156.0,49.0,5.0,8.0,156.0,33.0,1.0,14.0,40.0,8.0,3.0,41.0,52.0,12.0,1.0,0.0,0.0,1.0,1.0,11.0,3.0,0.0,1.0,3.0,28.0,18.0,9.0,20.0,15.0,1.0,0.0,3.0,156.0,156.0,67.0,26.0,156.0,10.0,0.0,0.0,11.0,45.0,80.0,146.0,35.0,8.0,5.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,40.0,32.0,5.0,3.0,0.0,1.0,1.0,5.0,19.0,41.0,26.0,3.0,5.0,14.0,9.0,9.0,5.0,1.0,3.0
2906.005615234375,2678.22607421875,2.1004035472869873,283.71380615234375,0.10545933991670609,60.0,1.0,1.0,5.0,27.0,18.0,12.0,109.0,91.0,1.0,1.0,50.0,31.0,0.0,0.0,65.0,9.0,8.0,12.0,123.0,97.0,2.0,15.0,30.0,23.0,23.0,16.0,21.0,18.0,5.0,19.0,38.0,40.0,19.0,12.0,7.0,7.0,15.0,19.0,56.0,35.0,14.0,33.0,123.0,40.0,9.0,1.0,18.0,123.0,14.0,10.0,114.0,34.0,5.0,23.0,97.0,22.0,3.0,2.0,27.0,123.0,22.0,33.0,55.0,41.0,48.0,5.0,4.0,4.0,16.0,27.0,7.0,18.0,3.0,8.0,51.0,54.0,123.0,56.0,9.0,123.0,39.0,4.0,21.0,26.0,51.0,17.0,25.0,38.0,19.0,4.0,83.0,123.0,3.0,1.0,9.0,75.0,52.0,16.0,3.0,3.0,18.0,16.0,13.0,12.0,21.0,26.0,7.0,64.0,45.0,15.0,6.0,56.0,29.0,6.0,12.0,60.0,34.0,4.0,6.0,30.0,21.0,6.0,44.0,99.0,3.0,1.0,5.0
