Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
890.39013671875,580.353515625,5.367663383483887,196.7558135986328,0.05065232887864113,5.0,3.0,10.0,9.0,6.0,9.0,38.0,51.0,6.0,4.0,41.0,15.0,2.0,1.0,14.0,114.0,2.0,17.0,47.0,9.0,18.0,1.0,8.0,38.0,2.0,6.0,26.0,61.0,115.0,35.0,7.0,4.0,42.0,13.0,2.0,11.0,46.0,5.0,26.0,44.0,12.0,33.0,115.0,115.0,115.0,19.0,10.0,16.0,115.0,115.0,105.0,14.0,12.0,6.0,2.0,15.0,26.0,10.0,12.0,17.0,65.0,104.0,25.0,6.0,58.0,87.0,25.0,5.0,39.0,8.0,0.0,4.0,17.0,11.0,6.0,17.0,115.0,115.0,51.0,29.0,115.0,31.0,32.0,30.0,8.0,22.0,43.0,85.0,15.0,8.0,82.0,71.0,4.0,4.0,2.0,2.0,98.0,27.0,13.0,13.0,3.0,3.0,4.0,38.0,5.0,2.0,18.0,83.0,22.0,27.0,12.0,2.0,3.0,2.0,34.0,100.0,7.0,7.0,15.0,23.0,10.0,3.0,21.0,22.0,1.0,2.0,11.0,41.0
1282.172607421875,436.554443359375,94.69121551513672,234.35008239746094,0.057316266000270844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,4.0,37.0,0.0,0.0,0.0,1.0,15.0,80.0,59.0,91.0,1.0,2.0,2.0,2.0,2.0,8.0,89.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,115.0,5.0,0.0,0.0,1.0,22.0,125.0,115.0,14.0,1.0,0.0,0.0,22.0,108.0,128.0,63.0,18.0,1.0,4.0,12.0,17.0,20.0,26.0,41.0,32.0,7.0,0.0,0.0,5.0,2.0,0.0,3.0,128.0,122.0,3.0,1.0,4.0,5.0,7.0,37.0,48.0,45.0,6.0,5.0,55.0,122.0,30.0,22.0,0.0,0.0,0.0,15.0,68.0,124.0,7.0,0.0,13.0,1.0,0.0,1.0,9.0,2.0,2.0,29.0,128.0,26.0,0.0,0.0,0.0,0.0,0.0,128.0,69.0,11.0,1.0,3.0,3.0,45.0,48.0,120.0,0.0,0.0,3.0,4.0,31.0,128.0,27.0,1.0
1282.172607421875,436.554443359375,94.69121551513672,331.4499816894531,0.057316266000270844,6.0,52.0,89.0,2.0,3.0,7.0,5.0,3.0,17.0,25.0,11.0,1.0,2.0,14.0,23.0,31.0,27.0,2.0,0.0,0.0,0.0,6.0,51.0,125.0,60.0,9.0,0.0,0.0,9.0,9.0,9.0,125.0,75.0,83.0,73.0,1.0,0.0,0.0,0.0,6.0,125.0,76.0,16.0,2.0,0.0,0.0,18.0,94.0,37.0,24.0,56.0,67.0,9.0,4.0,36.0,110.0,35.0,125.0,125.0,20.0,1.0,3.0,1.0,17.0,58.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,125.0,116.0,114.0,9.0,0.0,0.0,1.0,13.0,7.0,25.0,125.0,125.0,4.0,1.0,3.0,5.0,0.0,90.0,125.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,9.0,0.0,0.0,2.0,2.0,1.0,10.0,7.0,2.0,0.0,0.0,9.0,5.0
890.39013671875,580.353515625,5.367663383483887,10.18280029296875,0.05065232887864113,1.0,2.0,14.0,29.0,6.0,4.0,34.0,16.0,3.0,5.0,15.0,24.0,5.0,3.0,55.0,79.0,20.0,23.0,12.0,3.0,1.0,1.0,33.0,89.0,3.0,1.0,2.0,38.0,63.0,11.0,19.0,24.0,7.0,13.0,3.0,3.0,17.0,8.0,96.0,50.0,7.0,18.0,41.0,96.0,114.0,31.0,39.0,24.0,114.0,114.0,54.0,33.0,16.0,9.0,5.0,24.0,40.0,7.0,0.0,10.0,83.0,77.0,15.0,7.0,109.0,91.0,17.0,6.0,26.0,12.0,8.0,16.0,10.0,4.0,2.0,21.0,114.0,114.0,108.0,14.0,114.0,14.0,12.0,14.0,13.0,37.0,114.0,114.0,43.0,2.0,20.0,36.0,44.0,22.0,3.0,14.0,108.0,9.0,7.0,5.0,1.0,5.0,25.0,72.0,5.0,0.0,18.0,50.0,2.0,18.0,48.0,5.0,3.0,1.0,38.0,99.0,4.0,5.0,41.0,15.0,9.0,12.0,51.0,38.0,7.0,2.0,6.0,6.0
434.6761169433594,581.9442749023438,3.1476619243621826,29.376258850097656,0.05487149581313133,4.0,2.0,7.0,23.0,16.0,6.0,18.0,11.0,51.0,7.0,11.0,19.0,30.0,36.0,10.0,20.0,10.0,0.0,0.0,0.0,108.0,125.0,9.0,9.0,3.0,4.0,1.0,0.0,9.0,11.0,13.0,13.0,10.0,14.0,80.0,87.0,6.0,0.0,0.0,1.0,125.0,54.0,23.0,26.0,24.0,14.0,2.0,25.0,38.0,9.0,6.0,4.0,125.0,125.0,2.0,12.0,2.0,12.0,14.0,4.0,38.0,54.0,1.0,2.0,6.0,19.0,25.0,69.0,18.0,2.0,4.0,2.0,89.0,125.0,64.0,10.0,5.0,2.0,10.0,18.0,15.0,118.0,123.0,11.0,55.0,95.0,11.0,8.0,3.0,13.0,9.0,2.0,25.0,125.0,13.0,3.0,5.0,10.0,3.0,14.0,13.0,6.0,28.0,17.0,35.0,24.0,7.0,1.0,1.0,1.0,57.0,105.0,20.0,38.0,22.0,0.0,1.0,2.0,125.0,88.0,6.0,10.0,3.0,1.0,6.0,39.0,120.0,25.0
434.6761169433594,581.9442749023438,3.1476619243621826,192.3172607421875,0.05487149581313133,42.0,97.0,63.0,6.0,3.0,3.0,1.0,1.0,17.0,50.0,124.0,22.0,22.0,61.0,8.0,1.0,0.0,17.0,126.0,97.0,20.0,26.0,3.0,0.0,1.0,5.0,43.0,34.0,35.0,13.0,1.0,1.0,87.0,78.0,1.0,0.0,1.0,14.0,6.0,4.0,126.0,70.0,4.0,5.0,18.0,126.0,42.0,15.0,6.0,2.0,29.0,26.0,123.0,126.0,28.0,4.0,7.0,9.0,30.0,8.0,17.0,19.0,17.0,42.0,85.0,10.0,7.0,5.0,3.0,10.0,4.0,9.0,126.0,25.0,4.0,49.0,44.0,7.0,2.0,26.0,11.0,2.0,1.0,86.0,126.0,46.0,43.0,17.0,1.0,0.0,0.0,1.0,12.0,19.0,108.0,42.0,60.0,20.0,9.0,3.0,1.0,0.0,0.0,3.0,126.0,57.0,10.0,30.0,18.0,3.0,3.0,6.0,11.0,5.0,6.0,24.0,29.0,7.0,29.0,46.0,3.0,2.0,4.0,11.0,13.0,17.0,49.0,18.0
434.6761169433594,581.9442749023438,3.1476619243621826,324.421142578125,0.05487149581313133,2.0,21.0,62.0,12.0,2.0,1.0,0.0,0.0,22.0,122.0,30.0,1.0,0.0,0.0,2.0,12.0,9.0,54.0,51.0,8.0,3.0,3.0,14.0,22.0,5.0,8.0,13.0,25.0,15.0,24.0,15.0,6.0,21.0,10.0,20.0,5.0,13.0,56.0,17.0,19.0,121.0,30.0,11.0,4.0,0.0,3.0,46.0,126.0,14.0,13.0,19.0,89.0,9.0,6.0,124.0,124.0,2.0,2.0,10.0,126.0,50.0,9.0,23.0,9.0,22.0,1.0,0.0,0.0,15.0,125.0,92.0,22.0,126.0,40.0,8.0,43.0,21.0,36.0,13.0,53.0,21.0,12.0,37.0,126.0,44.0,1.0,10.0,12.0,4.0,1.0,14.0,114.0,11.0,9.0,4.0,2.0,10.0,1.0,1.0,1.0,44.0,122.0,42.0,11.0,52.0,6.0,2.0,50.0,72.0,68.0,13.0,23.0,14.0,5.0,4.0,102.0,84.0,2.0,0.0,0.0,24.0,7.0,3.0,6.0,3.0,4.0,2.0,3.0
431.5944519042969,583.9828491210938,2.1917338371276855,200.73326110839844,0.05170651525259018,38.0,124.0,0.0,0.0,0.0,4.0,3.0,4.0,89.0,140.0,1.0,1.0,1.0,51.0,41.0,5.0,21.0,5.0,0.0,28.0,77.0,140.0,72.0,3.0,1.0,0.0,0.0,10.0,63.0,68.0,11.0,15.0,45.0,13.0,1.0,2.0,1.0,5.0,10.0,8.0,140.0,40.0,1.0,11.0,18.0,0.0,1.0,25.0,57.0,4.0,0.0,140.0,140.0,13.0,6.0,9.0,1.0,0.0,0.0,35.0,61.0,10.0,43.0,41.0,37.0,10.0,11.0,10.0,1.0,1.0,1.0,0.0,140.0,55.0,6.0,27.0,27.0,0.0,0.0,2.0,42.0,13.0,5.0,97.0,140.0,7.0,8.0,12.0,36.0,2.0,1.0,3.0,11.0,3.0,32.0,66.0,14.0,9.0,7.0,5.0,0.0,0.0,0.0,2.0,106.0,106.0,14.0,12.0,9.0,0.0,1.0,10.0,28.0,22.0,12.0,36.0,45.0,12.0,41.0,32.0,25.0,7.0,10.0,7.0,3.0,2.0,13.0,21.0
445.1586608886719,576.6280517578125,1.9078470468521118,327.58544921875,0.05243052542209625,21.0,2.0,0.0,0.0,0.0,12.0,20.0,16.0,37.0,13.0,1.0,0.0,0.0,2.0,36.0,40.0,17.0,21.0,3.0,0.0,6.0,37.0,39.0,24.0,5.0,1.0,0.0,0.0,25.0,90.0,40.0,14.0,33.0,2.0,0.0,1.0,13.0,79.0,48.0,25.0,130.0,3.0,0.0,0.0,3.0,19.0,86.0,130.0,17.0,1.0,0.0,0.0,3.0,78.0,130.0,96.0,4.0,0.0,0.0,0.0,105.0,130.0,38.0,54.0,44.0,27.0,6.0,28.0,79.0,44.0,13.0,11.0,130.0,52.0,0.0,5.0,21.0,16.0,11.0,36.0,89.0,11.0,0.0,0.0,43.0,87.0,33.0,30.0,15.0,1.0,0.0,0.0,111.0,111.0,13.0,24.0,45.0,7.0,1.0,5.0,23.0,85.0,30.0,44.0,130.0,23.0,5.0,1.0,8.0,36.0,14.0,51.0,78.0,24.0,18.0,7.0,37.0,10.0,0.0,3.0,7.0,9.0,5.0,4.0,43.0,33.0,1.0,1.0
499.8831481933594,2404.715576171875,1.941537857055664,183.71771240234375,0.05005597695708275,0.0,0.0,0.0,8.0,51.0,79.0,16.0,7.0,16.0,5.0,10.0,31.0,130.0,138.0,24.0,34.0,138.0,24.0,7.0,3.0,4.0,12.0,20.0,138.0,22.0,6.0,3.0,0.0,1.0,18.0,21.0,37.0,0.0,0.0,5.0,47.0,74.0,14.0,6.0,7.0,42.0,23.0,7.0,103.0,138.0,55.0,6.0,13.0,138.0,62.0,7.0,15.0,14.0,6.0,5.0,47.0,36.0,4.0,1.0,3.0,7.0,15.0,7.0,5.0,1.0,1.0,11.0,18.0,42.0,21.0,0.0,0.0,18.0,3.0,1.0,13.0,135.0,138.0,101.0,51.0,138.0,8.0,1.0,3.0,5.0,15.0,69.0,138.0,21.0,3.0,3.0,5.0,1.0,0.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,9.0,3.0,1.0,1.0,7.0,4.0,1.0,2.0,23.0,37.0,10.0,3.0,7.0,4.0,2.0,1.0,1.0,24.0,27.0,1.0,2.0,11.0,6.0,3.0,1.0,1.0,1.0
