Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
469.6197204589844,408.90478515625,2.0800931453704834,91.65336608886719,0.0362626276910305,2.0,2.0,1.0,1.0,19.0,23.0,5.0,4.0,28.0,17.0,1.0,0.0,2.0,1.0,10.0,56.0,35.0,21.0,0.0,0.0,1.0,4.0,40.0,55.0,68.0,16.0,0.0,0.0,1.0,3.0,8.0,20.0,16.0,5.0,0.0,4.0,60.0,31.0,0.0,3.0,138.0,12.0,0.0,2.0,7.0,9.0,34.0,138.0,29.0,4.0,1.0,3.0,60.0,116.0,82.0,73.0,59.0,73.0,5.0,3.0,19.0,30.0,8.0,10.0,17.0,2.0,0.0,1.0,63.0,65.0,6.0,5.0,138.0,50.0,2.0,0.0,10.0,21.0,7.0,31.0,90.0,50.0,6.0,0.0,40.0,138.0,38.0,10.0,9.0,17.0,2.0,0.0,10.0,138.0,67.0,9.0,3.0,0.0,0.0,0.0,40.0,107.0,9.0,3.0,88.0,96.0,17.0,1.0,8.0,16.0,3.0,11.0,19.0,138.0,76.0,0.0,1.0,16.0,7.0,1.0,0.0,83.0,29.0,10.0,27.0,85.0,24.0,0.0
306.1781311035156,619.6220703125,6.285109996795654,291.513916015625,0.03392847254872322,1.0,2.0,1.0,4.0,88.0,34.0,5.0,5.0,25.0,62.0,13.0,11.0,112.0,24.0,0.0,1.0,52.0,85.0,5.0,4.0,9.0,8.0,1.0,4.0,8.0,7.0,4.0,6.0,16.0,28.0,7.0,8.0,0.0,2.0,24.0,86.0,74.0,5.0,1.0,1.0,32.0,54.0,14.0,111.0,142.0,6.0,0.0,1.0,142.0,125.0,6.0,9.0,9.0,5.0,1.0,8.0,38.0,7.0,0.0,1.0,21.0,36.0,6.0,9.0,0.0,1.0,53.0,142.0,18.0,0.0,0.0,0.0,75.0,7.0,4.0,142.0,112.0,0.0,0.0,10.0,142.0,24.0,1.0,5.0,7.0,0.0,0.0,36.0,44.0,10.0,1.0,2.0,24.0,14.0,3.0,3.0,0.0,0.0,57.0,69.0,8.0,0.0,0.0,0.0,47.0,25.0,6.0,58.0,39.0,2.0,3.0,2.0,142.0,102.0,1.0,2.0,1.0,0.0,1.0,4.0,47.0,15.0,0.0,0.0,1.0,4.0,2.0,1.0
319.8030700683594,633.0950317382812,20.645971298217773,26.847457885742188,0.032019663602113724,0.0,1.0,21.0,78.0,82.0,17.0,5.0,1.0,6.0,8.0,43.0,17.0,15.0,17.0,39.0,18.0,8.0,18.0,57.0,28.0,14.0,10.0,7.0,6.0,12.0,1.0,21.0,31.0,5.0,0.0,8.0,33.0,0.0,1.0,54.0,94.0,16.0,28.0,15.0,0.0,8.0,19.0,130.0,101.0,32.0,61.0,10.0,1.0,130.0,73.0,118.0,26.0,7.0,9.0,6.0,44.0,35.0,8.0,4.0,6.0,2.0,0.0,35.0,121.0,3.0,2.0,1.0,7.0,11.0,80.0,86.0,5.0,12.0,4.0,7.0,14.0,52.0,130.0,47.0,8.0,130.0,73.0,10.0,2.0,11.0,93.0,20.0,38.0,46.0,90.0,45.0,6.0,2.0,0.0,1.0,13.0,36.0,45.0,2.0,3.0,10.0,30.0,16.0,5.0,4.0,4.0,0.0,0.0,12.0,130.0,34.0,3.0,19.0,27.0,3.0,0.0,4.0,130.0,76.0,19.0,12.0,46.0,24.0,0.0,0.0,9.0,56.0,23.0
319.8030700683594,633.0950317382812,20.645971298217773,166.97439575195312,0.032019663602113724,0.0,4.0,12.0,6.0,22.0,26.0,17.0,8.0,1.0,7.0,10.0,39.0,106.0,66.0,2.0,0.0,123.0,90.0,24.0,24.0,36.0,6.0,0.0,0.0,71.0,61.0,17.0,7.0,7.0,0.0,0.0,1.0,0.0,22.0,130.0,34.0,9.0,6.0,5.0,2.0,17.0,9.0,47.0,130.0,104.0,29.0,5.0,3.0,130.0,46.0,18.0,69.0,22.0,5.0,3.0,16.0,128.0,42.0,2.0,10.0,14.0,0.0,0.0,5.0,6.0,3.0,16.0,9.0,10.0,40.0,35.0,16.0,16.0,2.0,6.0,41.0,49.0,130.0,84.0,13.0,130.0,55.0,3.0,6.0,6.0,61.0,79.0,42.0,70.0,95.0,9.0,5.0,5.0,1.0,4.0,7.0,5.0,15.0,15.0,26.0,78.0,35.0,12.0,3.0,18.0,34.0,21.0,3.0,5.0,39.0,25.0,18.0,9.0,4.0,0.0,0.0,2.0,53.0,120.0,25.0,51.0,22.0,1.0,0.0,1.0,22.0,43.0,13.0
287.89691162109375,611.6889038085938,2.675774574279785,74.173828125,0.04264242574572563,16.0,18.0,7.0,3.0,4.0,10.0,11.0,9.0,2.0,10.0,38.0,49.0,17.0,11.0,3.0,1.0,48.0,11.0,25.0,47.0,14.0,1.0,3.0,77.0,62.0,5.0,7.0,10.0,5.0,13.0,12.0,71.0,23.0,26.0,7.0,16.0,16.0,21.0,28.0,13.0,18.0,20.0,47.0,128.0,107.0,53.0,11.0,12.0,128.0,95.0,51.0,48.0,9.0,5.0,7.0,72.0,52.0,14.0,65.0,26.0,8.0,20.0,10.0,30.0,14.0,21.0,17.0,23.0,17.0,28.0,28.0,21.0,27.0,6.0,12.0,55.0,118.0,128.0,73.0,69.0,128.0,17.0,11.0,12.0,14.0,44.0,90.0,128.0,15.0,12.0,90.0,59.0,30.0,69.0,17.0,5.0,9.0,39.0,44.0,53.0,4.0,1.0,0.0,1.0,112.0,12.0,20.0,63.0,6.0,4.0,6.0,56.0,56.0,9.0,28.0,13.0,7.0,18.0,16.0,53.0,0.0,1.0,34.0,12.0,13.0,89.0,25.0,0.0
371.11688232421875,639.0955200195312,4.926222801208496,91.08084106445312,0.03066243790090084,45.0,12.0,3.0,2.0,3.0,1.0,5.0,17.0,8.0,4.0,2.0,29.0,137.0,28.0,2.0,3.0,84.0,2.0,2.0,11.0,82.0,30.0,8.0,117.0,44.0,0.0,1.0,1.0,1.0,0.0,15.0,115.0,8.0,4.0,45.0,60.0,3.0,0.0,7.0,13.0,15.0,11.0,35.0,137.0,78.0,2.0,0.0,2.0,137.0,39.0,13.0,53.0,27.0,3.0,0.0,35.0,69.0,13.0,28.0,18.0,1.0,0.0,1.0,19.0,0.0,0.0,74.0,109.0,24.0,0.0,0.0,0.0,42.0,5.0,20.0,137.0,108.0,7.0,0.0,5.0,137.0,33.0,5.0,12.0,12.0,2.0,4.0,47.0,37.0,13.0,24.0,11.0,2.0,10.0,28.0,16.0,0.0,1.0,76.0,41.0,7.0,13.0,34.0,10.0,23.0,3.0,24.0,38.0,17.0,4.0,85.0,39.0,137.0,50.0,13.0,4.0,3.0,2.0,42.0,50.0,15.0,25.0,83.0,19.0,4.0,9.0,9.0,5.0
371.11688232421875,639.0955200195312,4.926222801208496,310.72894287109375,0.03066243790090084,0.0,0.0,4.0,132.0,43.0,28.0,4.0,0.0,39.0,16.0,6.0,82.0,24.0,16.0,2.0,35.0,83.0,24.0,1.0,1.0,1.0,0.0,1.0,108.0,45.0,1.0,0.0,2.0,1.0,0.0,1.0,57.0,5.0,1.0,3.0,15.0,40.0,132.0,49.0,34.0,42.0,46.0,3.0,4.0,52.0,132.0,8.0,5.0,132.0,59.0,1.0,0.0,2.0,9.0,4.0,55.0,46.0,2.0,0.0,8.0,15.0,9.0,5.0,48.0,7.0,2.0,13.0,26.0,21.0,36.0,11.0,27.0,14.0,1.0,0.0,2.0,54.0,132.0,25.0,13.0,132.0,90.0,6.0,1.0,18.0,71.0,15.0,27.0,36.0,87.0,4.0,1.0,9.0,20.0,5.0,7.0,18.0,1.0,2.0,6.0,1.0,3.0,6.0,39.0,6.0,0.0,0.0,4.0,68.0,88.0,6.0,13.0,9.0,66.0,18.0,11.0,132.0,71.0,2.0,3.0,64.0,132.0,13.0,3.0,7.0,3.0,3.0,14.0
312.35345458984375,639.6593017578125,6.5810370445251465,278.34527587890625,0.03156677260994911,0.0,3.0,109.0,68.0,1.0,0.0,0.0,0.0,30.0,2.0,23.0,142.0,25.0,0.0,0.0,12.0,148.0,4.0,1.0,16.0,7.0,0.0,0.0,105.0,51.0,3.0,1.0,4.0,18.0,6.0,1.0,20.0,0.0,11.0,60.0,22.0,2.0,6.0,53.0,6.0,73.0,18.0,13.0,60.0,14.0,24.0,41.0,10.0,148.0,36.0,1.0,2.0,1.0,2.0,5.0,32.0,52.0,3.0,0.0,1.0,4.0,7.0,2.0,8.0,0.0,1.0,2.0,1.0,1.0,29.0,148.0,19.0,29.0,1.0,0.0,3.0,23.0,148.0,148.0,19.0,148.0,10.0,0.0,0.0,9.0,29.0,26.0,50.0,55.0,7.0,0.0,1.0,9.0,3.0,1.0,12.0,1.0,0.0,0.0,2.0,7.0,26.0,35.0,2.0,7.0,0.0,0.0,17.0,102.0,59.0,18.0,3.0,148.0,5.0,0.0,2.0,37.0,15.0,2.0,30.0,32.0,8.0,1.0,1.0,4.0,3.0,1.0,15.0
305.31976318359375,601.7470092773438,1.9699392318725586,95.50384521484375,0.04139282554388046,5.0,5.0,2.0,2.0,23.0,27.0,21.0,1.0,35.0,1.0,0.0,5.0,150.0,88.0,3.0,6.0,150.0,5.0,0.0,1.0,20.0,9.0,0.0,15.0,83.0,7.0,0.0,0.0,0.0,0.0,1.0,15.0,8.0,25.0,34.0,23.0,24.0,2.0,0.0,0.0,37.0,6.0,7.0,85.0,150.0,21.0,0.0,2.0,150.0,29.0,1.0,10.0,30.0,3.0,0.0,8.0,96.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,16.0,46.0,11.0,12.0,6.0,17.0,25.0,29.0,4.0,5.0,24.0,150.0,86.0,6.0,19.0,150.0,11.0,0.0,3.0,24.0,16.0,3.0,40.0,98.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,1.0,23.0,9.0,40.0,54.0,21.0,5.0,0.0,37.0,150.0,16.0,7.0,7.0,150.0,17.0,0.0,11.0,27.0,1.0,0.0,13.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0
311.0428771972656,649.2880249023438,2.700526237487793,276.4117736816406,0.032973386347293854,0.0,0.0,0.0,0.0,5.0,82.0,136.0,0.0,76.0,4.0,0.0,0.0,20.0,108.0,44.0,24.0,152.0,37.0,1.0,0.0,1.0,2.0,2.0,33.0,20.0,28.0,13.0,4.0,1.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,37.0,69.0,51.0,4.0,55.0,11.0,0.0,1.0,152.0,96.0,6.0,2.0,152.0,45.0,0.0,0.0,18.0,3.0,2.0,14.0,34.0,11.0,4.0,4.0,4.0,8.0,7.0,12.0,0.0,0.0,17.0,25.0,77.0,20.0,21.0,3.0,51.0,1.0,1.0,6.0,152.0,21.0,0.0,7.0,152.0,8.0,0.0,0.0,24.0,3.0,0.0,44.0,50.0,2.0,0.0,0.0,4.0,16.0,12.0,27.0,0.0,4.0,26.0,35.0,33.0,1.0,0.0,0.0,41.0,1.0,4.0,14.0,152.0,15.0,0.0,6.0,152.0,1.0,0.0,0.0,16.0,3.0,0.0,38.0,38.0,6.0,2.0,3.0,3.0,3.0,4.0,11.0
