Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
451.7172546386719,2148.969970703125,2.979728937149048,266.2250671386719,0.08417604118585587,32.0,28.0,27.0,24.0,14.0,0.0,0.0,2.0,28.0,15.0,25.0,39.0,28.0,0.0,0.0,2.0,49.0,29.0,21.0,19.0,18.0,0.0,0.0,3.0,17.0,8.0,11.0,29.0,33.0,0.0,0.0,1.0,108.0,113.0,69.0,48.0,18.0,6.0,3.0,17.0,40.0,53.0,96.0,113.0,69.0,18.0,2.0,5.0,113.0,113.0,65.0,44.0,16.0,4.0,1.0,10.0,23.0,29.0,50.0,107.0,42.0,4.0,0.0,2.0,113.0,10.0,2.0,5.0,20.0,52.0,38.0,106.0,48.0,7.0,4.0,20.0,93.0,113.0,33.0,43.0,113.0,19.0,4.0,6.0,27.0,51.0,29.0,108.0,33.0,6.0,4.0,18.0,80.0,90.0,14.0,27.0,74.0,7.0,5.0,6.0,15.0,18.0,7.0,28.0,33.0,2.0,2.0,18.0,54.0,62.0,8.0,15.0,96.0,5.0,2.0,5.0,21.0,24.0,7.0,36.0,23.0,1.0,1.0,7.0,58.0,44.0,4.0,11.0
965.162109375,2354.516357421875,2.841521739959717,6.763801574707031,0.08114819973707199,0.0,0.0,2.0,3.0,1.0,6.0,25.0,6.0,0.0,5.0,27.0,35.0,1.0,5.0,23.0,16.0,6.0,26.0,27.0,9.0,0.0,10.0,18.0,7.0,2.0,4.0,1.0,0.0,0.0,1.0,15.0,7.0,0.0,1.0,7.0,28.0,31.0,2.0,2.0,1.0,10.0,36.0,75.0,141.0,111.0,4.0,0.0,2.0,141.0,141.0,70.0,38.0,7.0,1.0,1.0,7.0,21.0,16.0,18.0,4.0,0.0,0.0,5.0,4.0,6.0,72.0,118.0,28.0,49.0,1.0,0.0,0.0,42.0,16.0,14.0,61.0,141.0,39.0,3.0,26.0,141.0,56.0,15.0,9.0,29.0,11.0,4.0,82.0,26.0,15.0,58.0,20.0,1.0,5.0,7.0,3.0,124.0,113.0,45.0,5.0,8.0,5.0,2.0,2.0,61.0,22.0,3.0,6.0,112.0,95.0,4.0,12.0,141.0,50.0,6.0,2.0,17.0,26.0,5.0,36.0,10.0,10.0,28.0,9.0,2.0,10.0,12.0,5.0
965.162109375,2354.516357421875,2.841521739959717,187.66233825683594,0.08114819973707199,2.0,10.0,12.0,5.0,11.0,11.0,29.0,10.0,19.0,29.0,5.0,33.0,141.0,53.0,6.0,2.0,110.0,96.0,4.0,11.0,60.0,24.0,4.0,6.0,7.0,5.0,2.0,2.0,116.0,118.0,52.0,6.0,1.0,5.0,7.0,3.0,26.0,15.0,56.0,21.0,30.0,12.0,4.0,78.0,141.0,57.0,15.0,9.0,141.0,43.0,3.0,24.0,41.0,17.0,14.0,59.0,49.0,1.0,0.0,0.0,5.0,66.0,119.0,29.0,0.0,0.0,4.0,4.0,21.0,16.0,19.0,4.0,7.0,1.0,1.0,7.0,141.0,141.0,70.0,38.0,112.0,4.0,0.0,2.0,10.0,37.0,74.0,141.0,31.0,2.0,3.0,1.0,0.0,0.0,6.0,27.0,0.0,1.0,14.0,7.0,2.0,4.0,1.0,0.0,0.0,9.0,17.0,7.0,6.0,26.0,27.0,8.0,1.0,5.0,23.0,17.0,0.0,5.0,27.0,36.0,1.0,6.0,26.0,6.0,0.0,0.0,2.0,3.0
994.7266845703125,2001.8525390625,2.0292928218841553,124.20097351074219,0.07511818408966064,1.0,1.0,33.0,132.0,49.0,22.0,0.0,0.0,8.0,7.0,26.0,69.0,65.0,43.0,9.0,8.0,0.0,0.0,0.0,8.0,20.0,35.0,10.0,2.0,0.0,0.0,2.0,13.0,3.0,2.0,1.0,2.0,19.0,3.0,13.0,132.0,63.0,5.0,0.0,4.0,132.0,18.0,16.0,26.0,7.0,28.0,44.0,100.0,21.0,4.0,1.0,5.0,69.0,132.0,60.0,28.0,0.0,0.0,0.0,2.0,21.0,49.0,7.0,4.0,25.0,0.0,0.0,20.0,103.0,64.0,19.0,11.0,132.0,64.0,19.0,14.0,5.0,9.0,10.0,35.0,36.0,32.0,45.0,112.0,117.0,63.0,6.0,6.0,0.0,0.0,2.0,9.0,59.0,64.0,3.0,1.0,3.0,0.0,0.0,3.0,34.0,132.0,132.0,8.0,47.0,31.0,14.0,9.0,18.0,72.0,17.0,14.0,17.0,16.0,25.0,47.0,8.0,5.0,60.0,32.0,1.0,2.0,5.0,5.0,8.0,51.0,72.0,9.0
983.5802612304688,2471.529052734375,1.898057222366333,358.67279052734375,0.09984748810529709,2.0,7.0,22.0,1.0,0.0,0.0,1.0,2.0,5.0,5.0,3.0,0.0,1.0,2.0,23.0,19.0,0.0,0.0,1.0,3.0,3.0,20.0,39.0,4.0,0.0,1.0,21.0,11.0,5.0,6.0,1.0,0.0,52.0,53.0,82.0,1.0,0.0,0.0,0.0,4.0,131.0,45.0,13.0,5.0,2.0,11.0,81.0,131.0,10.0,6.0,13.0,59.0,62.0,131.0,131.0,37.0,0.0,0.0,18.0,59.0,92.0,61.0,2.0,0.0,96.0,48.0,9.0,0.0,0.0,0.0,1.0,3.0,131.0,131.0,131.0,22.0,2.0,2.0,4.0,21.0,9.0,27.0,131.0,131.0,49.0,22.0,7.0,6.0,0.0,0.0,43.0,131.0,51.0,6.0,0.0,0.0,41.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,47.0,42.0,33.0,2.0,0.0,0.0,1.0,6.0,15.0,4.0,31.0,29.0,63.0,30.0,7.0,13.0,0.0,0.0,8.0,25.0,60.0,14.0,1.0,1.0
472.09307861328125,1480.9110107421875,2.8643925189971924,357.873291015625,0.07249818742275238,25.0,21.0,19.0,44.0,41.0,8.0,5.0,18.0,112.0,15.0,0.0,0.0,8.0,4.0,10.0,129.0,22.0,0.0,4.0,23.0,129.0,17.0,6.0,37.0,3.0,2.0,32.0,28.0,34.0,4.0,3.0,17.0,90.0,61.0,36.0,28.0,3.0,4.0,4.0,7.0,129.0,71.0,10.0,6.0,17.0,2.0,1.0,35.0,28.0,6.0,10.0,43.0,129.0,11.0,2.0,12.0,43.0,1.0,0.0,6.0,50.0,7.0,8.0,42.0,49.0,10.0,1.0,1.0,1.0,9.0,77.0,44.0,118.0,129.0,87.0,16.0,3.0,3.0,30.0,18.0,24.0,30.0,105.0,106.0,55.0,5.0,14.0,10.0,60.0,11.0,2.0,6.0,11.0,1.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,22.0,129.0,24.0,1.0,8.0,8.0,1.0,0.0,11.0,129.0,24.0,18.0,6.0,12.0,4.0,0.0,48.0,100.0,13.0,58.0,32.0,1.0,0.0,1.0,7.0,12.0,16.0
412.98956298828125,2149.116943359375,3.1201510429382324,80.38593292236328,0.09084942191839218,122.0,35.0,7.0,1.0,0.0,0.0,1.0,24.0,122.0,21.0,7.0,13.0,6.0,2.0,3.0,16.0,38.0,41.0,10.0,13.0,20.0,4.0,17.0,24.0,19.0,7.0,2.0,16.0,40.0,14.0,14.0,15.0,122.0,9.0,0.0,2.0,6.0,2.0,3.0,122.0,76.0,30.0,37.0,94.0,82.0,15.0,5.0,37.0,73.0,122.0,50.0,46.0,25.0,4.0,5.0,22.0,24.0,62.0,35.0,66.0,37.0,1.0,0.0,2.0,122.0,95.0,6.0,1.0,6.0,4.0,1.0,40.0,60.0,8.0,2.0,12.0,69.0,82.0,87.0,43.0,51.0,12.0,2.0,9.0,38.0,47.0,100.0,115.0,23.0,15.0,8.0,23.0,57.0,57.0,62.0,41.0,122.0,9.0,1.0,0.0,0.0,0.0,3.0,86.0,60.0,0.0,0.0,0.0,0.0,3.0,28.0,53.0,11.0,0.0,0.0,4.0,30.0,21.0,25.0,21.0,13.0,0.0,0.0,1.0,12.0,18.0,42.0,28.0
978.0374755859375,465.9919738769531,9.43677806854248,9.928245544433594,0.0776425376534462,0.0,1.0,22.0,16.0,6.0,14.0,1.0,0.0,1.0,20.0,64.0,16.0,1.0,0.0,0.0,0.0,9.0,36.0,13.0,2.0,7.0,19.0,16.0,3.0,1.0,1.0,0.0,3.0,9.0,39.0,78.0,1.0,0.0,0.0,129.0,129.0,7.0,8.0,1.0,0.0,16.0,65.0,129.0,116.0,1.0,0.0,0.0,2.0,129.0,129.0,54.0,2.0,0.0,0.0,2.0,5.0,27.0,11.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,4.0,94.0,51.0,1.0,1.0,17.0,9.0,50.0,13.0,37.0,41.0,4.0,3.0,34.0,81.0,129.0,43.0,16.0,2.0,0.0,0.0,2.0,109.0,38.0,14.0,54.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,129.0,67.0,12.0,0.0,0.0,1.0,1.0,1.0,129.0,113.0,54.0,10.0,32.0,38.0,28.0,2.0,20.0,69.0,2.0,19.0,129.0,32.0,13.0,1.0,0.0,0.0
420.88885498046875,2148.967041015625,3.226168155670166,278.9322814941406,0.07304147630929947,15.0,24.0,21.0,17.0,18.0,2.0,0.0,0.0,14.0,19.0,20.0,36.0,30.0,5.0,0.0,0.0,29.0,39.0,27.0,28.0,18.0,2.0,0.0,0.0,3.0,10.0,34.0,58.0,47.0,7.0,0.0,0.0,24.0,72.0,70.0,80.0,27.0,2.0,0.0,0.0,24.0,63.0,83.0,109.0,60.0,16.0,2.0,2.0,65.0,109.0,87.0,89.0,42.0,16.0,3.0,9.0,38.0,48.0,76.0,109.0,71.0,41.0,18.0,15.0,78.0,30.0,16.0,26.0,58.0,65.0,36.0,34.0,90.0,21.0,6.0,22.0,60.0,109.0,68.0,38.0,109.0,20.0,4.0,7.0,25.0,87.0,73.0,75.0,43.0,3.0,1.0,4.0,33.0,109.0,102.0,38.0,34.0,5.0,2.0,10.0,28.0,72.0,30.0,13.0,89.0,22.0,4.0,13.0,19.0,37.0,19.0,14.0,47.0,20.0,13.0,30.0,39.0,47.0,14.0,8.0,39.0,23.0,14.0,43.0,21.0,23.0,7.0,4.0
420.88885498046875,2148.967041015625,3.226168155670166,152.04061889648438,0.07304147630929947,54.0,31.0,8.0,1.0,0.0,30.0,60.0,21.0,2.0,10.0,42.0,35.0,24.0,100.0,24.0,2.0,22.0,51.0,67.0,44.0,27.0,75.0,38.0,15.0,90.0,51.0,8.0,0.0,0.0,7.0,32.0,30.0,29.0,34.0,50.0,14.0,7.0,44.0,26.0,12.0,5.0,28.0,108.0,108.0,39.0,67.0,10.0,3.0,100.0,81.0,54.0,14.0,7.0,55.0,79.0,45.0,51.0,18.0,4.0,0.0,0.0,16.0,61.0,43.0,2.0,10.0,68.0,76.0,22.0,60.0,14.0,1.0,23.0,52.0,65.0,48.0,41.0,108.0,70.0,24.0,108.0,40.0,9.0,2.0,2.0,21.0,83.0,105.0,40.0,30.0,9.0,0.0,0.0,11.0,19.0,14.0,1.0,28.0,54.0,64.0,48.0,66.0,18.0,2.0,108.0,80.0,45.0,22.0,12.0,29.0,48.0,64.0,72.0,29.0,5.0,0.0,0.0,15.0,38.0,29.0,17.0,10.0,2.0,1.0,1.0,7.0,19.0,29.0
