Y,X,Scale,Angle,Response,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
395.82373046875,415.95574951171875,2.2844765186309814,168.7913818359375,0.021348416805267334,125.0,2.0,0.0,6.0,26.0,4.0,0.0,33.0,72.0,1.0,0.0,62.0,125.0,0.0,0.0,23.0,96.0,17.0,6.0,42.0,52.0,0.0,0.0,7.0,28.0,24.0,51.0,68.0,90.0,3.0,0.0,1.0,125.0,13.0,2.0,28.0,26.0,0.0,0.0,6.0,78.0,9.0,4.0,125.0,125.0,0.0,0.0,3.0,125.0,6.0,5.0,37.0,65.0,3.0,0.0,17.0,11.0,0.0,10.0,33.0,102.0,19.0,2.0,4.0,125.0,9.0,5.0,22.0,26.0,1.0,0.0,16.0,57.0,5.0,1.0,34.0,125.0,9.0,0.0,4.0,125.0,39.0,11.0,20.0,52.0,5.0,0.0,9.0,7.0,4.0,4.0,21.0,64.0,9.0,2.0,5.0,125.0,2.0,2.0,6.0,21.0,6.0,1.0,34.0,18.0,2.0,0.0,12.0,125.0,16.0,0.0,2.0,39.0,38.0,6.0,7.0,27.0,5.0,0.0,0.0,4.0,8.0,6.0,9.0,12.0,2.0,0.0,1.0
571.9577026367188,794.3563232421875,2.280846357345581,297.6760559082031,0.029620662331581116,27.0,63.0,49.0,1.0,1.0,0.0,0.0,8.0,63.0,33.0,5.0,12.0,10.0,0.0,0.0,1.0,151.0,34.0,1.0,1.0,92.0,31.0,1.0,5.0,1.0,0.0,0.0,1.0,151.0,55.0,0.0,1.0,41.0,19.0,12.0,5.0,4.0,4.0,22.0,120.0,79.0,34.0,20.0,59.0,21.0,25.0,10.0,14.0,151.0,49.0,6.0,4.0,85.0,42.0,4.0,20.0,11.0,0.0,0.0,0.0,151.0,115.0,1.0,3.0,16.0,21.0,3.0,1.0,2.0,7.0,16.0,30.0,52.0,15.0,12.0,11.0,15.0,74.0,45.0,24.0,151.0,28.0,1.0,1.0,50.0,38.0,12.0,49.0,26.0,2.0,0.0,0.0,151.0,113.0,1.0,4.0,23.0,24.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,15.0,4.0,2.0,2.0,2.0,2.0,83.0,34.0,1.0,1.0,3.0,4.0,0.0,2.0,7.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0
546.6608276367188,793.9730224609375,1.9701282978057861,351.2939453125,0.023780789226293564,13.0,5.0,3.0,8.0,5.0,10.0,11.0,13.0,0.0,6.0,19.0,25.0,11.0,44.0,38.0,1.0,0.0,19.0,18.0,2.0,1.0,123.0,94.0,1.0,0.0,1.0,1.0,0.0,1.0,136.0,109.0,0.0,6.0,17.0,19.0,25.0,16.0,1.0,0.0,0.0,7.0,32.0,70.0,136.0,84.0,0.0,0.0,0.0,76.0,136.0,74.0,24.0,4.0,6.0,3.0,1.0,10.0,17.0,14.0,2.0,1.0,20.0,19.0,0.0,2.0,19.0,10.0,27.0,60.0,23.0,7.0,1.0,57.0,11.0,8.0,135.0,136.0,10.0,0.0,5.0,136.0,36.0,7.0,15.0,12.0,1.0,1.0,35.0,25.0,4.0,9.0,5.0,2.0,8.0,3.0,5.0,1.0,61.0,80.0,45.0,46.0,10.0,2.0,1.0,78.0,5.0,19.0,93.0,136.0,8.0,0.0,8.0,136.0,5.0,0.0,2.0,7.0,2.0,1.0,41.0,14.0,0.0,1.0,2.0,2.0,6.0,2.0,5.0
550.0650634765625,736.62255859375,1.9228864908218384,297.2130126953125,0.03362246975302696,9.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,43.0,6.0,1.0,6.0,17.0,6.0,1.0,7.0,108.0,9.0,1.0,1.0,83.0,45.0,6.0,26.0,0.0,0.0,0.0,3.0,149.0,50.0,0.0,0.0,15.0,11.0,2.0,13.0,8.0,2.0,1.0,3.0,53.0,31.0,17.0,76.0,28.0,9.0,2.0,4.0,149.0,53.0,7.0,5.0,88.0,46.0,1.0,17.0,6.0,0.0,0.0,0.0,149.0,115.0,1.0,2.0,15.0,19.0,3.0,5.0,7.0,11.0,5.0,3.0,53.0,10.0,4.0,18.0,25.0,73.0,37.0,26.0,149.0,9.0,1.0,1.0,69.0,36.0,11.0,64.0,17.0,0.0,0.0,1.0,149.0,100.0,1.0,5.0,9.0,14.0,2.0,1.0,0.0,1.0,7.0,6.0,28.0,17.0,6.0,5.0,5.0,9.0,5.0,4.0,149.0,27.0,1.0,1.0,40.0,16.0,2.0,8.0,32.0,2.0,0.0,0.0,149.0,65.0,0.0,2.0
242.7675018310547,735.1279296875,5.5202317237854,240.96334838867188,0.022917652502655983,3.0,8.0,6.0,5.0,13.0,41.0,21.0,2.0,4.0,2.0,4.0,23.0,19.0,76.0,44.0,5.0,50.0,9.0,5.0,16.0,8.0,40.0,37.0,71.0,44.0,6.0,1.0,1.0,3.0,28.0,56.0,99.0,9.0,24.0,10.0,14.0,13.0,31.0,14.0,3.0,14.0,9.0,13.0,126.0,112.0,27.0,15.0,4.0,126.0,44.0,23.0,53.0,18.0,2.0,2.0,55.0,126.0,56.0,59.0,14.0,12.0,29.0,29.0,73.0,7.0,15.0,56.0,126.0,10.0,1.0,1.0,1.0,31.0,8.0,43.0,126.0,59.0,5.0,12.0,21.0,126.0,41.0,22.0,21.0,18.0,3.0,8.0,41.0,126.0,123.0,56.0,23.0,13.0,4.0,6.0,25.0,36.0,5.0,24.0,126.0,11.0,0.0,0.0,13.0,70.0,10.0,14.0,16.0,1.0,3.0,6.0,39.0,83.0,30.0,1.0,1.0,6.0,4.0,5.0,26.0,51.0,42.0,10.0,1.0,8.0,4.0,7.0,24.0
242.7675018310547,735.1279296875,5.5202317237854,90.16746520996094,0.022917652502655983,0.0,0.0,2.0,7.0,61.0,39.0,3.0,0.0,2.0,1.0,7.0,10.0,54.0,45.0,6.0,5.0,125.0,0.0,0.0,1.0,30.0,25.0,13.0,126.0,53.0,1.0,1.0,1.0,6.0,16.0,7.0,34.0,12.0,21.0,5.0,8.0,32.0,97.0,22.0,10.0,34.0,9.0,4.0,20.0,89.0,115.0,10.0,11.0,126.0,27.0,10.0,10.0,9.0,11.0,7.0,96.0,17.0,13.0,17.0,5.0,3.0,20.0,22.0,21.0,11.0,8.0,8.0,11.0,79.0,126.0,72.0,59.0,23.0,2.0,0.0,2.0,126.0,126.0,35.0,42.0,126.0,35.0,23.0,8.0,19.0,40.0,12.0,39.0,12.0,35.0,59.0,12.0,4.0,2.0,3.0,5.0,8.0,55.0,90.0,36.0,50.0,35.0,31.0,17.0,2.0,5.0,27.0,61.0,126.0,60.0,16.0,9.0,16.0,14.0,77.0,29.0,43.0,22.0,4.0,12.0,18.0,42.0,71.0,7.0,1.0,1.0,1.0,11.0
232.91893005371094,735.052490234375,1.9286893606185913,92.53677368164062,0.03487616404891014,22.0,26.0,11.0,38.0,15.0,0.0,0.0,1.0,82.0,50.0,6.0,1.0,0.0,14.0,23.0,18.0,5.0,8.0,6.0,2.0,31.0,115.0,24.0,5.0,4.0,5.0,1.0,1.0,40.0,66.0,1.0,0.0,50.0,15.0,11.0,43.0,17.0,11.0,0.0,1.0,72.0,114.0,97.0,14.0,10.0,5.0,2.0,3.0,42.0,94.0,107.0,23.0,43.0,46.0,12.0,15.0,2.0,1.0,3.0,10.0,88.0,96.0,7.0,3.0,31.0,1.0,1.0,2.0,31.0,115.0,21.0,27.0,42.0,10.0,14.0,8.0,22.0,82.0,23.0,37.0,115.0,41.0,10.0,2.0,8.0,29.0,34.0,106.0,12.0,5.0,0.0,1.0,49.0,115.0,34.0,18.0,1.0,0.0,0.0,1.0,93.0,115.0,24.0,13.0,20.0,12.0,3.0,12.0,16.0,45.0,24.0,40.0,93.0,75.0,23.0,15.0,7.0,17.0,51.0,115.0,4.0,7.0,13.0,74.0,75.0,68.0,42.0,23.0
232.91893005371094,735.052490234375,1.9286893606185913,22.51018524169922,0.03487616404891014,0.0,0.0,2.0,119.0,113.0,14.0,7.0,1.0,4.0,17.0,17.0,59.0,21.0,5.0,30.0,24.0,17.0,21.0,30.0,0.0,0.0,0.0,29.0,81.0,11.0,6.0,4.0,1.0,14.0,13.0,21.0,46.0,0.0,1.0,7.0,68.0,57.0,45.0,19.0,1.0,25.0,16.0,14.0,54.0,34.0,18.0,38.0,24.0,119.0,29.0,7.0,7.0,7.0,5.0,32.0,99.0,11.0,1.0,1.0,50.0,73.0,20.0,23.0,26.0,26.0,9.0,9.0,20.0,22.0,68.0,95.0,64.0,12.0,3.0,2.0,27.0,30.0,86.0,119.0,90.0,115.0,30.0,35.0,50.0,28.0,14.0,55.0,57.0,8.0,7.0,30.0,119.0,51.0,1.0,0.0,1.0,77.0,52.0,48.0,17.0,18.0,52.0,56.0,69.0,1.0,7.0,31.0,83.0,89.0,86.0,49.0,20.0,0.0,1.0,17.0,119.0,58.0,7.0,6.0,5.0,5.0,7.0,23.0,61.0,8.0,0.0,0.0,2.0
229.7185821533203,734.2474975585938,4.86185359954834,223.885009765625,0.02712061256170273,31.0,6.0,17.0,113.0,14.0,3.0,3.0,14.0,121.0,14.0,16.0,8.0,0.0,0.0,2.0,110.0,50.0,44.0,22.0,5.0,19.0,34.0,34.0,86.0,2.0,3.0,3.0,4.0,56.0,79.0,12.0,3.0,57.0,2.0,4.0,22.0,4.0,3.0,17.0,58.0,121.0,36.0,55.0,15.0,11.0,0.0,1.0,55.0,121.0,63.0,47.0,8.0,9.0,18.0,28.0,121.0,19.0,7.0,7.0,24.0,121.0,121.0,44.0,45.0,65.0,6.0,0.0,1.0,1.0,2.0,5.0,33.0,81.0,13.0,4.0,12.0,24.0,7.0,12.0,30.0,121.0,121.0,79.0,19.0,5.0,3.0,5.0,39.0,15.0,33.0,95.0,121.0,95.0,16.0,3.0,8.0,22.0,1.0,0.0,0.0,0.0,0.0,4.0,56.0,13.0,1.0,0.0,0.0,0.0,1.0,7.0,41.0,14.0,29.0,25.0,2.0,0.0,0.0,1.0,9.0,0.0,6.0,30.0,22.0,0.0,0.0,0.0,0.0
546.6608276367188,793.9730224609375,1.9701282978057861,193.37939453125,0.023780789226293564,1.0,4.0,2.0,1.0,86.0,81.0,13.0,2.0,86.0,32.0,0.0,0.0,128.0,95.0,2.0,16.0,128.0,104.0,6.0,1.0,2.0,7.0,43.0,41.0,6.0,10.0,9.0,3.0,2.0,22.0,55.0,7.0,2.0,5.0,9.0,2.0,64.0,30.0,0.0,2.0,55.0,14.0,0.0,0.0,128.0,128.0,10.0,7.0,128.0,54.0,2.0,0.0,9.0,16.0,11.0,28.0,31.0,8.0,5.0,1.0,1.0,5.0,18.0,11.0,2.0,3.0,3.0,0.0,10.0,14.0,10.0,12.0,9.0,1.0,1.0,0.0,49.0,128.0,91.0,19.0,118.0,4.0,1.0,0.0,2.0,29.0,89.0,108.0,38.0,5.0,5.0,3.0,6.0,8.0,13.0,23.0,0.0,3.0,65.0,5.0,0.0,1.0,3.0,2.0,1.0,26.0,128.0,2.0,0.0,8.0,25.0,3.0,3.0,13.0,128.0,6.0,1.0,4.0,25.0,10.0,5.0,23.0,103.0,6.0,2.0,0.0,0.0,2.0
474.19903564453125,435.3520812988281,2.57660174369812,239.94879150390625,0.02510196715593338,7.0,0.0,0.0,23.0,40.0,10.0,3.0,6.0,128.0,7.0,0.0,4.0,5.0,3.0,13.0,92.0,40.0,46.0,26.0,1.0,0.0,33.0,48.0,38.0,5.0,44.0,39.0,3.0,4.0,17.0,9.0,2.0,25.0,7.0,3.0,34.0,36.0,6.0,1.0,3.0,128.0,47.0,5.0,7.0,6.0,5.0,13.0,125.0,46.0,15.0,8.0,30.0,58.0,77.0,52.0,55.0,12.0,19.0,8.0,5.0,7.0,54.0,52.0,15.0,15.0,7.0,1.0,13.0,35.0,11.0,38.0,29.0,128.0,128.0,17.0,5.0,5.0,16.0,81.0,39.0,21.0,128.0,52.0,34.0,43.0,23.0,6.0,3.0,21.0,59.0,16.0,8.0,17.0,17.0,11.0,10.0,34.0,0.0,0.0,1.0,3.0,3.0,33.0,128.0,7.0,17.0,1.0,0.0,9.0,108.0,126.0,95.0,8.0,103.0,23.0,1.0,9.0,111.0,39.0,7.0,41.0,48.0,10.0,2.0,6.0,8.0,11.0,27.0
558.8431396484375,743.8646240234375,2.1177735328674316,347.8137512207031,0.030167249962687492,9.0,9.0,17.0,4.0,1.0,1.0,2.0,7.0,4.0,14.0,30.0,11.0,3.0,2.0,7.0,5.0,2.0,77.0,60.0,2.0,4.0,12.0,17.0,2.0,16.0,134.0,59.0,8.0,15.0,20.0,19.0,4.0,5.0,9.0,3.0,24.0,18.0,1.0,3.0,8.0,15.0,34.0,97.0,134.0,50.0,0.0,0.0,1.0,115.0,134.0,77.0,27.0,13.0,3.0,1.0,4.0,16.0,46.0,21.0,22.0,83.0,9.0,8.0,26.0,1.0,28.0,46.0,61.0,72.0,1.0,2.0,3.0,86.0,9.0,9.0,134.0,134.0,0.0,0.0,11.0,134.0,34.0,10.0,22.0,8.0,0.0,0.0,32.0,38.0,37.0,28.0,17.0,14.0,5.0,10.0,46.0,0.0,15.0,48.0,88.0,43.0,1.0,0.0,0.0,110.0,4.0,7.0,94.0,65.0,0.0,0.0,33.0,134.0,19.0,5.0,7.0,5.0,14.0,8.0,67.0,6.0,29.0,31.0,8.0,5.0,24.0,28.0,6.0
70.84419250488281,733.06884765625,3.1227948665618896,284.09765625,0.021239450201392174,3.0,4.0,1.0,6.0,108.0,13.0,1.0,2.0,40.0,6.0,2.0,7.0,47.0,26.0,14.0,50.0,2.0,0.0,0.0,2.0,53.0,54.0,14.0,8.0,13.0,36.0,3.0,7.0,43.0,11.0,0.0,0.0,13.0,12.0,1.0,5.0,82.0,20.0,1.0,7.0,133.0,4.0,0.0,0.0,40.0,62.0,36.0,123.0,17.0,1.0,0.0,0.0,100.0,133.0,31.0,23.0,2.0,5.0,0.0,0.0,37.0,91.0,4.0,0.0,17.0,17.0,4.0,3.0,30.0,9.0,2.0,6.0,133.0,30.0,0.0,0.0,19.0,21.0,7.0,63.0,73.0,12.0,0.0,0.0,133.0,133.0,5.0,12.0,0.0,0.0,0.0,0.0,63.0,133.0,7.0,1.0,41.0,20.0,3.0,1.0,1.0,2.0,1.0,13.0,133.0,4.0,0.0,0.0,1.0,1.0,2.0,90.0,50.0,4.0,0.0,1.0,51.0,81.0,0.0,15.0,0.0,0.0,0.0,0.0,41.0,133.0,10.0,1.0
70.84419250488281,733.06884765625,3.1227948665618896,73.11965942382812,0.021239450201392174,79.0,30.0,4.0,1.0,2.0,1.0,0.0,1.0,150.0,37.0,1.0,1.0,0.0,0.0,0.0,14.0,76.0,3.0,7.0,80.0,18.0,1.0,1.0,14.0,0.0,0.0,8.0,138.0,47.0,0.0,0.0,0.0,114.0,22.0,0.0,1.0,3.0,0.0,0.0,7.0,150.0,27.0,5.0,20.0,13.0,0.0,0.0,39.0,62.0,9.0,28.0,150.0,104.0,0.0,0.0,11.0,7.0,3.0,32.0,106.0,18.0,5.0,1.0,5.0,81.0,7.0,0.0,0.0,3.0,1.0,2.0,55.0,150.0,92.0,50.0,71.0,5.0,0.0,0.0,15.0,50.0,22.0,44.0,150.0,48.0,0.0,0.0,30.0,23.0,1.0,2.0,12.0,24.0,6.0,2.0,27.0,26.0,16.0,8.0,1.0,1.0,1.0,1.0,23.0,32.0,22.0,32.0,58.0,9.0,2.0,2.0,24.0,81.0,4.0,15.0,33.0,4.0,1.0,1.0,90.0,9.0,0.0,0.0,4.0,37.0,5.0,1.0,14.0
228.29641723632812,732.9830322265625,1.9581327438354492,236.7593231201172,0.03169490769505501,13.0,28.0,121.0,80.0,29.0,5.0,3.0,4.0,22.0,13.0,33.0,35.0,37.0,11.0,16.0,15.0,112.0,3.0,1.0,0.0,0.0,1.0,10.0,94.0,98.0,2.0,3.0,1.0,1.0,5.0,30.0,140.0,34.0,12.0,16.0,68.0,33.0,34.0,7.0,8.0,69.0,45.0,52.0,20.0,1.0,0.0,1.0,5.0,140.0,42.0,14.0,2.0,0.0,0.0,0.0,88.0,139.0,26.0,43.0,17.0,0.0,0.0,0.0,91.0,4.0,1.0,2.0,39.0,64.0,60.0,12.0,7.0,77.0,9.0,10.0,45.0,14.0,3.0,14.0,14.0,140.0,102.0,30.0,1.0,0.0,0.0,1.0,14.0,40.0,59.0,140.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,41.0,10.0,17.0,14.0,19.0,1.0,0.0,4.0,3.0,3.0,63.0,42.0,67.0,49.0,27.0,0.0,0.0,0.0,9.0,22.0,1.0,15.0,113.0,8.0,0.0,0.0,0.0,0.0
